འཆ/NB,ch/NB,,ོགས,ogs,ོག,og,,,,མྱིའུ/C,myivu/C,,,,,
ཇ/A,j/A,,ོང,ong,ོགས,ogs,,,,རྨེའུ/C,rmevu/C,,,,,
མཇ/NB,mj/NB,,ོངས,ongs,ོང,ong,,,,སྨེའུ/C,smevu/C,,,,,
འཇ/NB,j/NB,,ོད,od,ོངས,ongs,,,,ཙིའུ/C,tsivu/C,,,,,
རྗ/A,rj/A,,ོན,on,ོད,od,,,,ཙེའུ/C,tsevu/C,,,,,
ལྗ/A,lj/A,,ོབ,ob,ོན,on,,,,གཙེའུ/C,gtsevu/C,,,,,
བརྗ/A,brj/A,,ོབས,obs,ོབ,ob,,,,རྩེའུ/C,rtsevu/C,,,,,
ཉ/A,ny/A,,ོམ,om,ོབས,obs,,,,ཚའུ/C,tshavu/C,,,,,
གཉ/NB,gny/NB,,ོམས,oms,ོམ,om,,,,ཚུའུ/C,tshuvu/C,,,,,
མཉ/NB,mny/NB,,ོལ,ol,ོམས,oms,,,,ཚེའུ/C,tshevu/C,,,,,
རྙ/A,rny/A,,ོའི,ovi,ོལ,ol,,,,མཚེའུ/C,mtshevu/C,,,,,
སྙ/A,sny/A,,ོའོ,ovo,ོའི,ovi,,,,མཚེའུ/C,mtshevu/C,,,,,
བརྙ/A,brny/A,,ོའང,ovang,ོའོ,ovo,,,,རྫིའུ/C,rdzivu/C,,,,,
བསྙ/A,bsny/A,,ོའམ,ovam,ོའང,ovang,,,,རྫེའུ/C,rdzevu/C,,,,,
ཏ/A,t/A,,ོར,or,ོའམ,ovam,,,,གཞུའུ/C,gzhuvu/C,,,,,
ཏྲ/A,tr/A,,ོས,os,ོར,or,,,,ཟེའུ/C,zevu/C,,,,,
གཏ/NB,gt/NB,,,,ོས,os,,,,ཡེའུ/C,yevu/C,,,,,
གཏྲ/A,gatr/A,,,,,,,,,གཡིའུ/C,g.yivu/C,,,,,
བཏ/NB,bt/NB,,,,,,,,,རེའུ/C,revu/C,,,,,
བཏྲ/A,batr/A,,,,,,,,,ལའུ/C,lavu/C,,,,,
རྟ/A,rt/A,,,,,,,,,ལིའུ/C,livu/C,,,,,
ལྟ/A,lt/A,,,,,,,,,ལེའུ/C,levu/C,,,,,
སྟ/A,st/A,,,,,,,,,ལོའུ/C,lovu/C,,,,,
བརྟ/A,brt/A,,,,,,,,,ཤའུ/C,shavu/C,,,,,
བལྟ/A,blt/A,,,,,,,,,ཤེའུ/C,shevu/C,,,,,
བསྟ/A,bst/A,,,,,,,,,སིའུ/C,sivu/C,,,,,
ཐ/A,th/A,,,,,,,,,སེའུ/C,sevu/C,,,,,
ཐྲ/A,thr/A,,,,,,,,,སྲིའུ/C,srivu/C,,,,,
མཐ/NB,mth/NB,,,,,,,,,སླེའུ/C,slevu/C,,,,,
འཐ/NB,th/NB,,,,,,,,,བསེའུ/C,bsevu/C,,,,,
ད/A,d/A,,,,,,,,,ཧུའུ/C,huvu/C,,,,,
དྲ/A,dr/A,,,,,,,,,ཧེའུ/C,hevu/C,,,,,
གད/NB,gad/NB,,,,,,,,,ཧྲུའུ/C,hruvu/C,,,,,
བད/NB,bad/NB,,,,,,,,,,,,,,,
མད/NB,mad/NB,,,,,,,,,,,,,,,
འད/NB,ad/NB,,,,,,,,,,,,,,,
འདྲ/A,dr/A,,,,,,,,,,,,,,,
རྡ/A,rd/A,,,,,,,,,,,,,,,
ལྡ/A,ld/A,,,,,,,,,,,,,,,
སྡ/A,sd/A,,,,,,,,,,,,,,,
བརྡ/A,brd/A,,,,,,,,,,,,,,,
བལྡ/A,bld/A,,,,,,,,,,,,,,,
བསྡ/A,bsd/A,,,,,,,,,,,,,,,
ན/A,n/A,,,,,,,,,,,,,,,
གན/NB,gan/NB,,,,,,,,,,,,,,,
མན/NB,man/NB,,,,,,,,,,,,,,,
རྣ/A,rn/A,,,,,,,,,,,,,,,
སྣ/A,sn/A,,,,,,,,,,,,,,,
སྣྲ/A,snr/A,,,,,,,,,,,,,,,
བརྣ/A,brn/A,,,,,,,,,,,,,,,
བསྣ/A,bsn/A,,,,,,,,,,,,,,,
པ/A,p/A,,,,,,,,,,,,,,,
པྱ/A,py/A,,,,,,,,,,,,,,,
པྲ/A,pr/A,,,,,,,,,,,,,,,
དཔ/NB,dp/NB,,,,,,,,,,,,,,,
དཔྱ/A,dpy/A,,,,,,,,,,,,,,,
དཔྲ/A,dpr/A,,,,,,,,,,,,,,,
ལྤ/A,lp/A,,,,,,,,,,,,,,,
སྤ/A,sp/A,,,,,,,,,,,,,,,
སྤྱ/A,spy/A,,,,,,,,,,,,,,,
སྤྲ/A,spr/A,,,,,,,,,,,,,,,
ཕ/A,ph/A,,,,,,,,,,,,,,,
ཕྱ/A,phy/A,,,,,,,,,,,,,,,
ཕྲ/A,phr/A,,,,,,,,,,,,,,,
འཕ/NB,ph/NB,,,,,,,,,,,,,,,
འཕྱ/A,phy/A,,,,,,,,,,,,,,,
འཕྲ/A,phr/A,,,,,,,,,,,,,,,
བ/A,b/A,,,,,,,,,,,,,,,
བྱ/A,by/A,,,,,,,,,,,,,,,
བྲ/A,br/A,,,,,,,,,,,,,,,
བླ/A,bl/A,,,,,,,,,,,,,,,
དབ/NB,dab/NB,,,,,,,,,,,,,,,
དབྱ/A,dby/A,,,,,,,,,,,,,,,
དབྲ/A,dbr/A,,,,,,,,,,,,,,,
འབ/NB,ab/NB,,,,,,,,,,,,,,,
འབྱ/A,by/A,,,,,,,,,,,,,,,
འབྲ/A,br/A,,,,,,,,,,,,,,,
རྦ/A,rb/A,,,,,,,,,,,,,,,
ལྦ/A,lb/A,,,,,,,,,,,,,,,
སྦ/A,sb/A,,,,,,,,,,,,,,,
སྦྱ/A,sby/A,,,,,,,,,,,,,,,
སྦྲ/A,sbr/A,,,,,,,,,,,,,,,
མ/A,m/A,,,,,,,,,,,,,,,
མྱ/A,my/A,,,,,,,,,,,,,,,
མྲ/A,mr/A,,,,,,,,,,,,,,,
དམ/NB,dam/NB,,,,,,,,,,,,,,,
དམྱ/A,dmy/A,,,,,,,,,,,,,,,
དམྲ/A,damr/A,,,,,,,,,,,,,,,
རྨ/A,rm/A,,,,,,,,,,,,,,,
རྨྱ/A,rmy/A,,,,,,,,,,,,,,,
སྨ/A,sm/A,,,,,,,,,,,,,,,
སྨྱ/A,smy/A,,,,,,,,,,,,,,,
སྨྲ/A,smr/A,,,,,,,,,,,,,,,
ཙ/A,ts/A,,,,,,,,,,,,,,,
གཙ/NB,gts/NB,,,,,,,,,,,,,,,
བཙ/NB,bts/NB,,,,,,,,,,,,,,,
རྩ/A,rts/A,,,,,,,,,,,,,,,
སྩ/A,sts/A,,,,,,,,,,,,,,,
བརྩ/A,brts/A,,,,,,,,,,,,,,,
བསྩ/A,bsts/A,,,,,,,,,,,,,,,
ཚ/A,tsh/A,,,,,,,,,,,,,,,
མཚ/NB,mtsh/NB,,,,,,,,,,,,,,,
འཚ/NB,tsh/NB,,,,,,,,,,,,,,,
ཛ/A,dz/A,,,,,,,,,,,,,,,
མཛ/NB,mdz/NB,,,,,,,,,,,,,,,
འཛ/NB,dz/NB,,,,,,,,,,,,,,,
རྫ/A,rdz/A,,,,,,,,,,,,,,,
བརྫ/A,brdz/A,,,,,,,,,,,,,,,
ཝ/A,w/A,,,,,,,,,,,,,,,
ཞ/A,zh/A,,,,,,,,,,,,,,,
གཞ/NB,gzh/NB,,,,,,,,,,,,,,,
བཞ/NB,bzh/NB,,,,,,,,,,,,,,,
ཟ/A,z/A,,,,,,,,,,,,,,,
ཟླ/A,zl/A,,,,,,,,,,,,,,,
གཟ/NB,gz/NB,,,,,,,,,,,,,,,
བཟ/NB,bz/NB,,,,,,,,,,,,,,,
བཟླ/A,bzl/A,,,,,,,,,,,,,,,
འ/A,/A,,,,,,,,,,,,,,,
ཡ/A,y/A,,,,,,,,,,,,,,,
གཡ/NB,g.y/NB,,,,,,,,,,,,,,,
ར/A,r/A,,,,,,,,,,,,,,,
རླ/A,rl/A,,,,,,,,,,,,,,,
བརླ/A,brl/A,,,,,,,,,,,,,,,
ལ/A,l/A,,,,,,,,,,,,,,,
ཤ/A,sh/A,,,,,,,,,,,,,,,
གཤ/NB,gsh/NB,,,,,,,,,,,,,,,
བཤ/NB,bsh/NB,,,,,,,,,,,,,,,
ས/A,s/A,,,,,,,,,,,,,,,
སྲ/A,sr/A,,,,,,,,,,,,,,,
སླ/A,sl/A,,,,,,,,,,,,,,,
གས/NB,gas/NB,,,,,,,,,,,,,,,
བས/NB,bas/NB,,,,,,,,,,,,,,,
བསྲ/A,bsr/A,,,,,,,,,,,,,,,
བསླ/A,bsl/A,,,,,,,,,,,,,,,
ཧ/A,h/A,,,,,,,,,,,,,,,
ཧྲ/A,hr/A,,,,,,,,,,,,,,,
ལྷ/A,lh/A,,,,,,,,,,,,,,,
ཨ/A,A/A,,,,,,,,,,,,,,,
