མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
,,158,2,《པེ་》《སྣར་》,mཡང་།,,
,,159,3,《པེ་》《སྣར་》,འགྱུར།,,
,53,160,1,《པེ་》《སྣར་》,འདུས་པར།,,
,,161,2,《པེ་》《སྣར་》,ཕྲག་བརྒྱ།,,
,,162,3,《པེ་》《སྣར་》,mཉན་ཐོས་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་ནི་འདི་སྙེད་ཅིག་ཡོད་དོ།།,,
,,163,4,《པེ་》《སྣར་》,mདུ་ཐམས་ཅད།,,
,54,164,1,《སྣར་》,mཔ།,,
,,165,2,《པེ་》《སྣར་》,པར།,,
,56,166,1,《པེ་》《སྣར་》,དེ།,,
,57,167,1,《པེ་》《སྣར་》,mམི།,,
,,168,2,《པེ་》《སྣར་》,དེ།,,
,,169,3,《སྣར་》,བསྒོམ།,,
,,170,4,《པེ་》《སྣར་》,བསྒོམ།,,
,,171,5,《པེ་》《སྣར་》,བསྒོམ།,,
,,172,6,《པེ་》《སྣར་》,བསྒོམ།,,
,,173,7,《པེ་》《སྣར་》,བསྒོམ།,,
,58,174,1,《པེ་》《སྣར་》,ཏེ།,,
,,175,2,《པེ་》《སྣར་》,བ།,,
,,176,3,《པེ་》《སྣར་》,བཏང་།,,
,,177,4,《པེ་》《སྣར་》,བསྒོམ།,,
,,178,5,《པེ་》《སྣར་》,དེ་ལ།,,
,,179,6,《པེ་》《སྣར་》,བསྒོམ།,,
,,180,7,《པེ་》《སྣར་》,བསྒོམ།,,
,,181,8,《པེ་》《སྣར་》,བསྒོམ།,,
,59,182,1,《པེ་》《སྣར་》,mཉིད།,,
,,183,2,《པེ་》《སྣར་》,གཟོའི།,,
,,184,3,《པེ་》《སྣར་》,mབྱ་བ།,,
,,185,4,《པེ་》《སྣར་》,mདུ།,,
,,186,5,《པེ་》《སྣར་》,བཞིན་དུ།,,
,,187,6,《པེ་》《སྣར་》,པ།,,
,60,188,1,《པེ་》《སྣར་》,ཆེན་པོ།,,
,,189,2,《པེ་》,mམ།,,
,,190,3,《པེ་》《སྣར་》,mཔར།,,
,,191,4,《པེ་》《སྣར་》,དེ།,,
,,192,5,《པེ་》,mཕྱིར་རྒོལ་བ་དེ་དག་ལས།,《སྣར་》,ཕྱིར་རྒོལ་བ་དེ་དག་པས།,
,,193,6,《པེ་》《སྣར་》,pཐར་བར།,,
,,194,7,《པེ་》《སྣར་》,དེ།,,
,61,195,1,《པེ་》《སྣར་》,mཡོངས་སུ།,,
,,196,2,《པེ་》《སྣར་》《ཅོ་》,བྱེད་ཅིང་།,,
,,197,3,《པེ་》《སྣར་》,mམ།,,
,,198,4,《ཅོ་》,སྤྱོད།,,
,62,199,1,《པེ་》《སྣར་》,mནམ།,,
,,200,2,《པེ་》《སྣར་》,གཟུང་།,,
,,201,3,《པེ་》《སྣར་》《ཅོ་》,mདེ།,,
,,202,4,《པེ་》《སྣར་》,པ།,,
,,203,5,《པེ་》《སྣར་》,པ།,,
,,204,6,《པེ་》《སྣར་》,pའདི།,,
,63,205,1,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,206,2,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,207,3,《པེ་》《སྣར་》,སྟོང་པ་ཉིད་ཀྱི།,,
,,208,4,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,209,5,《པེ་》《སྣར་》,pརྣམ་པར་ཐར་པའི་སྒོ་མཚན་མ་མེད་པའི་ཏིང་ངེ་འཛིན་མངོན་པར་བསྒྲུབ་པ་དང་།,,
,,210,6,《པེ་》《སྣར་》,བསྒྲུབ།,,
,64,211,1,《པེ་》《སྣར་》,mརབ་འབྱོར་དེ་ལྟར་བྱང་…...མཐའ་ཡང་མངོན་དུ་མི་བྱེད་དོ། །,,
,65,212,1,《པེ་》《སྣར་》,pརབ་འབྱོར་དེ་ལྟར་བྱང་…...མཐའ་མངོན་དུ་མི་བྱེད་དེ།,,
,,213,2,《པེ་》《སྣར་》,mབཞི།,,
,66,214,1,《པེ་》《སྣར་》,mཀྱི་ཆོས།,,
,,215,2,《པེ་》《སྣར་》,གཟུང་།,,
,,216,3,《པེ་》《སྣར་》,ཀྱིས།,,
,,217,4,《པེ་》《སྣར་》,གྱུར།,,
,,218,5,《པེ་》《སྣར་》,ཀྱི།,,
,,219,6,《པེ་》《སྣར་》,mསྤྱོད།,,
,,220,7,《པེ་》《སྣར་》,པ།,,
,67,221,1,《པེ་》《སྣར་》,pམ།,,
,,222,2,《པེ་》《སྣར་》,mབ།,,
,,223,3,《པེ་》《སྣར་》,mཀྱི་ཆོས།,,
,69,224,1,《སྣར་》,པའི།,,
,,225,2,《སྣར་》,mམ།,,
,,226,3,《པེ་》《སྣར་》,mསྒོམ་པ།,,
,,227,4,《པེ་》《སྣར་》,mདང་།,,
,,228,5,《པེ་》《སྣར་》,mདང་།,,
,,229,6,《པེ་》《སྣར་》,mརྣམས།,,
,70,230,1,《པེ་》《སྣར་》,རྣམས།,,
,,231,2,《པེ་》《སྣར་》,mསྒོམ་པ།,,
,,232,3,《པེ་》《སྣར་》,pམ།,,
,71,233,1,《ཅོ་》,སྤྱོད།,,
,,234,2,《པེ་》《སྣར་》,mནོ།,,
,,235,3,《པེ་》《སྣར་》,mལ།,,
,,236,4,《པེ་》《སྣར་》,mཡང་།,,
,72,237,1,《པེ་》《སྣར་》,བཏང་།,,
,73,238,1,《སྣར་》,བྱས།,,
,,239,2,《པེ་》《སྣར་》,སླབས།,,
,,240,3,《པེ་》《སྣར་》,པ།,,
,,241,4,《པེ་》《སྣར་》,སྦྱང་བའི།,,
