མཚན་བྱང་།,པར་གྲངས།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
,,,40,3,《པེ་》《སྣར་》,pཡོད་པ།,
,,,41,4,《པེ་》《སྣར་》,ལ།,
,,,42,5,《པེ་》《སྣར་》,བལྟོས། (ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།),
,,,43,6,《པེ་》《སྣར་》,གྲངས།,
,,,44,7,《པེ་》《སྣར་》,ལ།,
,,,45,8,《པེ་》《སྣར་》,pགིས་རང་།,
,,1041,46,1,《པེ་》《སྣར་》,pདེ།,
,,,47,2,《པེ་》《སྣར་》,pདང་།,
,,1042,48,1,《པེ་》《སྣར་》,པས་ཡོད་པ།,
,,,49,2,《པེ་》《སྣར་》,དེ་ལས་དངོས་པོ།,
,,,50,3,《པེ་》《སྣར་》,mཁྱད་པར།,
,,,51,4,《པེ་》《སྣར་》,ཏེ།,
,,,52,5,《པེ་》《སྣར་》,བ།,
,,,53,6,《པེ་》《སྣར་》,པ།,
,,,54,7,《པེ་》《སྣར་》,འཁྲུག,
,,1043,55,1,《སྣར་》,mཡིད་ལ་བྱེད་པ།,
,,,56,2,《པེ་》《སྣར་》,དེ།,
,,1044,57,1,《སྣར་》,mརྟོག་པས།,
,,,58,2,《པེ་》《སྣར་》,mཅན།,
,,,59,3,《པེ་》《སྣར་》,བསྐྱེད།,
,,,60,4,《པེ་》《སྣར་》,སྨྲ་བ།,
,,,61,5,《པེ་》《སྣར་》,ལ།,
,,1045,62,1,《པེ་》《སྣར་》,pན།,
,,,63,2,《པེ་》《སྣར་》,mལ།,
,,,64,3,《པེ་》《སྣར་》,pབ།,
,,,65,4,《པེ་》《སྣར་》,pདེ།,
,,,66,5,《པེ་》《སྣར་》,དེས།,
,,,67,6,《སྣར་》,པར།,
,,,68,7,《པེ་》《སྣར་》,pལ།,
,,1046,69,1,《པེ་》《སྣར་》,ན།,
,,,70,2,《སྣར་》,གིས།,
,,,71,3,《པེ་》《སྣར་》,ལྟ།,
,,,72,4,《སྣར་》,དཔྱོད།,
,,,73,5,《པེ་》《སྣར་》,དཔའ།,
,,1047,74,1,《པེ་》,pའཁོར།,
,,,75,2,《པེ་》《སྣར་》,སྤང་བའི།,
,,,76,3,《པེ་》《སྣར་》,pན།,
,,1048,77,1,《པེ་》《སྣར་》,mདེ་བཞིན་ཉིད་ནི།,
,,,78,2,《སྣར་》,བསྒོམས།,
,,,79,3,《པེ་》《སྣར་》,mདེ།,
,,1049,80,1,《པེ་》《སྣར་》,pམ།,
,,,81,2,《པེ་》《སྣར་》,གཞག,
,,1050,82,1,《པེ་》《སྣར་》,འཐད།,
,,,83,2,《པེ་》,པར།,
,,,84,3,《པེ་》《སྣར་》,བསྟེན།,
,,1051,85,1,《པེ་》《སྣར་》,གྱི།,
,,,86,2,《པེ་》《སྣར་》,pསྤངས་པ།,
,,,87,3,《པེ་》,སྲོག་བཅོད།,
,,,88,4,《པེ་》《སྣར་》,ཀྱི།,
,,,89,5,《པེ་》《སྣར་》,པ།,
,,,90,6,《སྣར་》,བ།,
,,,91,7,《པེ་》《སྣར་》,pཐུགས།,
,,,92,8,《པེ་》《སྣར་》,རྟེན།,
,,1052,93,1,《སྣར་》,mདག,
,,,94,2,《སྣར་》,རྟོགས།,
,,,95,3,《པེ་》《སྣར་》,mདེ་བཞིན་གཤེགས་པ་ལ།,
,,1053,96,1,《པེ་》《སྣར་》,mཔའི།,
,,,97,2,《པེ་》《སྣར་》,གྲུབ།,
,,,98,3,《པེ་》《སྣར་》,pསྔར།,
,,,99,4,《པེ་》《སྣར་》,པར།,
,,,100,5,《པེ་》《སྣར་》,pདུ།,
,,,101,6,《པེ་》《སྣར་》,པ།,
,,,102,7,《པེ་》《སྣར་》,ན།,
,,1054,103,1,《པེ་》《སྣར་》,pགྱི།,
,,,104,2,《པེ་》《སྣར་》,ཤཱ།,
,,,105,3,《པེ་》《སྣར་》,བརྟག,
,,,106,4,《སྣར་》,རྟོགས།,
,,1055,107,1,《པེ་》《སྣར་》,མ་ཡིན།,
,,,108,2,《པེ་》《སྣར་》,pནི།,
,,,109,3,《པེ་》《སྣར་》,ཤམ།,
,,,110,4,《སྣར་》,པ།,
,,1057,111,1,《པེ་》《སྣར་》,བརྗོད།,
,,,112,2,《པེ་》《སྣར་》,ནོ།།,
,,,113,3,《པེ་》《སྣར་》,རྗོད།,
,,,114,4,《པེ་》《སྣར་》,pམ།,
,,1058,115,1,《སྣར་》,པ།,
,,,116,2,《པེ་》《སྣར་》,ལོགས།,
,,,117,3,《པེ་》,mབསྒོམ།,
,,,118,4,《པེ་》《སྣར་》,སྒོམ།,
,,1059,119,1,《པེ་》《སྣར་》,mགཞུང་།,
,,,120,2,《པེ་》《སྣར་》,སྒོམ།,
,,,121,3,《པེ་》《སྣར་》,སྒོམ།,
,,,122,4,《པེ་》《སྣར་》,བསྡུ་བའི།,
,,1060,123,1,《སྣར་》,བརྟགས།,
,,,124,2,《པེ་》《སྣར་》,རྒྱལ་བར།,
,,,125,3,《པེ་》《སྣར་》,པོར།,
,,,126,4,《པེ་》《སྣར་》,mརྩལ།,
,,1061,127,1,《པེ་》《སྣར་》,pདེ་དག་ན།,
,,,128,2,《པེ་》《སྣར་》,རྒལ།,
,,,129,3,《པེ་》《སྣར་》,རྟོགས།,
,,,130,4,《པེ་》《སྣར་》,བའི།,
,,1062,131,1,《པེ་》《སྣར་》,སྒོས།,
,,,132,2,《པེ་》《སྣར་》,ལ།,
,,,133,3,《པེ་》《སྣར་》,བླན།,
,,,134,4,《པེ་》《སྣར་》,pདངོས་ཉིད་དུ།,
,,,135,5,《སྣར་》,mའདིས།,
,,1063,136,1,《པེ་》《སྣར་》,ཡིན།,
,,,137,2,《པེ་》《སྣར་》,mའཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བདུན་བརྒྱ་པ་རྒྱ་ཆེར་བཤད་པ།,
,,,138,3,《པེ་》《སྣར་》,འདོར།,
,,,139,4,《པེ་》《སྣར་》,རིགས།,
,,1064,140,1,《པེ་》《སྣར་》,བས།,
,,1065,141,1,《སྣར་》,སྤང་བ།,
,,,142,2,《པེ་》《སྣར་》,སྨོད།,
,,,143,3,《པེ་》《སྣར་》,བསྒྲུབ།,
,,1066,144,1,《པེ་》《སྣར་》,པའོ།,
,,,145,2,《སྣར་》,pབ།,
,,,146,3,《པེ་》《སྣར་》,ནོ།,
,,,147,4,《པེ་》《སྣར་》,pམ།,
,,,148,5,《པེ་》《སྣར་》,mཔའི།,
,,,149,6,《པེ་》《སྣར་》,བསྒོམ།,
,,,150,7,《པེ་》《སྣར་》,pལ།,
,,1067,151,1,《པེ་》《སྣར་》,mམ།,
,,,152,2,《པེ་》,རིག,
,,,153,3,《པེ་》《སྣར་》,བརྫུན།,
,,1068,154,1,《པེ་》《སྣར་》,ཀྱི།,
,,,155,2,《པེ་》《སྣར་》,pགཉིས།,
,,,156,3,《པེ་》《སྣར་》,mཡོད།,
,,,157,4,《པེ་》《སྣར་》,རྟོགས།,
,,,158,5,《པེ་》《སྣར་》,པའི།,
,,,159,6,《པེ་》《སྣར་》,ལྟར།,
,,,160,7,《པེ་》《སྣར་》,དེ་ཅིའི།,
,,1069,161,1,《པེ་》《སྣར་》,pབཅོམ་ལྡན་འདས།,
,,,162,2,《པེ་》《སྣར་》,པར།,
,,,163,3,《སྣར་》,སྨྲས་པར།,
,,,164,4,《པེ་》《སྣར་》,གྱུར།,
,,,165,5,《པེ་》《སྣར་》,དེ།,
,,,166,6,《པེ་》《སྣར་》,རྗོད།,
,,,167,7,《པེ་》《སྣར་》,བླན།,
,,,168,8,《པེ་》《སྣར་》,དགོང་།,
,,,169,9,《པེ་》《སྣར་》,མི།,
,,1070,170,1,《པེ་》《སྣར་》,པར།,
,,,171,2,《པེ་》《སྣར་》,བར།,
,,1071,172,1,《སྣར་》,ནོ།,
,,,173,2,《པེ་》《སྣར་》,pདང་།,
,,,174,3,《པེ་》《སྣར་》,mགང་།,
,,,175,4,《པེ་》《སྣར་》,mཡང་།,
,,,176,5,《པེ་》《སྣར་》,བསམས།,
,,1072,177,1,《པེ་》《སྣར་》,ཀྱི།,
,,,178,2,《པེ་》《སྣར་》,གཏོགས།,
,,1073,179,1,《པེ་》《སྣར་》,བསྒོམ།,
,,,180,2,《པེ་》《སྣར་》,mཔ།,
,,,181,3,《པེ་》《སྣར་》,བ།,
,,,182,4,《པེ་》《སྣར་》,pདེ་ཉིད་ཅེས་བྱ་བ་ལ་སོགས་པ་ལ།,
,,,183,5,《པེ་》《སྣར་》,ཉིད།,
,,,184,6,《པེ་》《སྣར་》,pདུ།,
,,1074,185,1,《པེ་》《སྣར་》,pནི།,
,,,186,2,《པེ་》,པའི།,
,,1075,187,1,《པེ་》《སྣར་》,རིམས།,
,,,188,2,《པེ་》《སྣར་》,ན།,
,,,189,3,《པེ་》《སྣར་》,mདེ།,
,,1076,190,1,《པེ་》《སྣར་》,pདེ།,
,,,191,2,《པེ་》《སྣར་》,pརྒྱ།,
,,,192,3,《པེ་》《སྣར་》,པའང་།,
,,1078,193,1,《པེ་》《སྣར་》,mགང་ཆོས།,
,,,194,2,《པེ་》《སྣར་》,སོ།,
,,1079,195,1,《པེ་》《སྣར་》,འདིས།,
,,,196,2,《པེ་》《སྣར་》,pཅིག,
,,,197,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,1080,198,1,《པེ་》,པ།,
,,,199,2,《པེ་》,རིགས།,
,,,200,3,《པེ་》《སྣར་》,རིགས།,
,,,201,4,《པེ་》《སྣར་》,pན།,
,,,202,5,《པེ་》《སྣར་》,སྒོམ།,
,,1081,203,1,《པེ་》《སྣར་》,mན།,
,,,204,2,《པེ་》《སྣར་》,སྐྱོ།,
,,,205,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,1082,206,1,《པེ་》《སྣར་》,དག,
,,,207,2,《པེ་》《སྣར་》,གྱིས།,
,,,208,3,《པེ་》《སྣར་》,དོ།།,
,,,209,4,《སྣར་》,mཡིན་པ།,
,,1083,210,1,《པེ་》《སྣར་》,བའམ།,
,,,211,2,《སྣར་》,པའི།,
,,,212,3,《པེ་》《སྣར་》,བགྱིས་པར།,
,,,213,4,《པེ་》《སྣར་》,པ།,
,,,214,5,《པེ་》《སྣར་》,སོ།,
,,1084,215,1,《པེ་》《སྣར་》,mལ།,
,,,216,2,《པེ་》《སྣར་》,pདང་།,
,,,217,3,《པེ་》《སྣར་》,འབུལ་བ།,
,,,218,4,《པེ་》《སྣར་》,mཔ།,
,,,219,5,《པེ་》《སྣར་》,ཀྱི།,
,,1085,220,1,《པེ་》《སྣར་》,pཡིན་པ་ཁོ་ན།,
,,,221,2,《པེ་》《སྣར་》,སྐུས།,
,,,222,3,《པེ་》《སྣར་》,ཏོ།།,
,,,223,4,《པེ་》《སྣར་》,འཆད།,
,,1086,224,1,《པེ་》《སྣར་》,ལྡོག,
,,,225,2,《པེ་》,ནི་ཡོད་པ།,《སྣར་》,ནི་ཡོད་པ་མ།
,,,226,3,《སྣར་》,mལ།,
,,1087,227,1,《པེ་》《སྣར་》,mམ།,
,,,228,2,《པེ་》《སྣར་》,འཐོབ།,
,,,229,3,《པེ་》《སྣར་》,mབཞི་བཅོམ།,
,,,230,4,《པེ་》《སྣར་》,pརབ་ཏུ།,
,,,231,5,《པེ་》《སྣར་》,ལ།,
,,1088,232,1,《པེ་》《སྣར་》,གཏོགས།,
,,,233,2,《པེ་》《སྣར་》,pསྟེ།,
,,,234,3,《སྣར་》,རྟགས།,
,,1089,235,1,《པེ་》《སྣར་》,བརྗོད།,
,,1090,236,1,《པེ་》《སྣར་》,mདུ།,
,,,237,2,《པེ་》《སྣར་》,ཀྱིས།,
,,,238,3,《པེ་》《སྣར་》,།།,
,,,239,4,《པེ་》《སྣར་》,།། །།,
,,1091,240,1,《པེ་》《སྣར་》,གཞོལ།,
,,,241,2,《པེ་》《སྣར་》,mདག,
,,,242,3,《པེ་》《སྣར་》,mལ།,
,,,243,4,《པེ་》《སྣར་》,pདག,
,,,244,5,《པེ་》《སྣར་》,mལ།,
,,,245,6,《པེ་》《སྣར་》《པེ་》《ཅོ་》,mཔ།,
,,1092,246,1,《པེ་》《སྣར་》,mཔ་ཡིན་ནོ་ཞེས།,
,,,247,2,《པེ་》《སྣར་》,ཀྱིས།,
,,,248,3,《པེ་》《སྣར་》,mནི།,
,,1093,249,1,《པེ་》《སྣར་》,གོ།།,
,,,250,2,《པེ་》《སྣར་》,mཤེས།,
,,,251,3,《པེ་》《སྣར་》,སྡུད།,
,,1094,252,1,《པེ་》《སྣར་》,སྐད།,
,,,253,2,《པེ་》《སྣར་》,mཞེ།།,
,,1095,254,1,《པེ་》《སྣར་》,དེའི།,
,,,255,2,《པེ་》《སྣར་》,བ།,
,,,256,3,《པེ་》《སྣར་》,སྒྲིབས།,
,,,257,4,《པེ་》《སྣར་》,དོ།།,
,,1096,258,1,《པེ་》《སྣར་》,དག,
,,,259,2,《པེ་》《སྣར་》,mཔ།,
,,1097,260,1,《སྣར་》,pདང་།,
,,,261,2,《པེ་》《སྣར་》,བོ་ནི།,
,,,262,3,《པེ་》《སྣར་》,པའི།,
,,,263,4,《པེ་》《སྣར་》,mམ།,
,,1098,264,1,《པེ་》《སྣར་》,mགི་དངོས་པོ་ནི་རང་།,
,,,265,2,《པེ་》《སྣར་》,མའོ།,
,,1099,266,1,《པེ་》《སྣར་》,བསྟེན།,
,,,267,2,《པེ་》《སྣར་》,mཔ།,
,,,268,3,《པེ་》《སྣར་》,བསྐྱེད།,
,,,269,4,《པེ་》《སྣར་》,པ།,
,,1100,270,1,《སྣར་》,mབ་ནི་དེའི་ངོ་བོ་ཞེས་བྱ།,
,,,271,2,《པེ་》《སྣར་》,pདང་།,
,,,272,3,《པེ་》《སྣར་》,mམངོན་པར།,
,,,273,4,《པེ་》《སྣར་》,རྗོད།,
,,,274,5,《པེ་》《སྣར་》,གཞག,
,,1101,275,1,《པེ་》《སྣར་》,པ།,
,,,276,2,《པེ་》《སྣར་》,mདུ།,
,,,277,3,《པེ་》《སྣར་》,ལྟ།,
,,,278,4,《པེ་》《སྣར་》,mནོ།,
,,,279,5,《པེ་》《སྣར་》,འགག,
,,,280,6,《པེ་》《སྣར་》,mགང་ཆོས།,
,,,281,7,《པེ་》《སྣར་》,mགནས་མེད་པ་དང་།,
,,1102,282,1,《པེ་》《སྣར་》,མི།,
,,,283,2,《པེ་》《སྣར་》,རྟོག,
,,,284,3,《པེ་》《སྣར་》,ལ།,
,,,285,4,《པེ་》《སྣར་》,འདི།,
,,1103,286,1,《པེ་》《སྣར་》,ཞེས།,
,,,287,2,《པེ་》《སྣར་》,ལྟར།,
,,,288,3,《པེ་》《སྣར་》,pསོགས་པ་ལ།,
,,,289,4,《པེ་》《སྣར་》,pདུ།,
,,,290,5,《པེ་》《སྣར་》,བརླབས།,
,,,291,6,《པེ་》,བསྒོམ་པ།,《སྣར་》,བསྒོམ་པའི།
,,1104,292,1,《པེ་》《སྣར་》,བསྒོམ།,
,,,293,2,《པེ་》《སྣར་》,རྟོགས།,
,,,294,3,《པེ་》《སྣར་》,mནི།,
,,,295,4,《པེ་》《སྣར་》,བསྒོམས།,
,,,296,5,《པེ་》《སྣར་》,pཡོད་པ།,
,,1105,297,1,《པེ་》《སྣར་》,བཟུང་།,
,,,298,2,《པེ་》《སྣར་》,ཀྱི།,
,,,299,3,《པེ་》《སྣར་》,pནི།,
,,,300,4,《པེ་》《སྣར་》,གཏོགས།,
,,1106,301,1,《པེ་》《སྣར་》,བསྐྱེད།,
,,,302,2,《སྣར་》,ལྟ།,
,,,303,3,《པེ་》《སྣར་》,དེས་ཀྱང་།,
,,,304,4,《པེ་》《སྣར་》,pཔོ།,
,,,305,5,《པེ་》《སྣར་》,pཔ།,
,,1107,306,1,《པེ་》《སྣར་》,mབྱང་ཆུབ་ཀྱང་།,
,,,307,2,《པེ་》《སྣར་》,mཔོས་བརྒལ་བ།,
,,,308,3,《པེ་》《སྣར་》,བར།,
,,,309,4,《སྣར་》,pབདག་ཉིད།,
,,,310,5,《པེ་》《སྣར་》,pདེ།,
,,,311,6,《པེ་》《སྣར་》,ཀྱི།,
,,1108,312,1,《པེ་》《སྣར་》,pམ།,
,,,313,2,《པེ་》《སྣར་》,mདེའི།,
,,,314,3,《པེ་》《སྣར་》,mཔ།,
,,,315,4,《པེ་》《སྣར་》,pང་།,
,,1109,316,1,《པེ་》《སྣར་》,pཞེས་བྱའོ།,
,,,317,2,《པེ་》《སྣར་》,པའོ།,
,,,318,3,《པེ་》《སྣར་》,mཞེས།,
,,1111,319,1,《པེ་》《སྣར་》,pམེད་པ།,
,,,320,2,《པེ་》《སྣར་》,pབ།,
,,1112,321,1,《པེ་》,ཡོད།,《སྣར་》,ཡོང་།
,,,322,2,《པེ་》《སྣར་》,བསོད།,
,,1113,323,1,《པེ་》,རྗོད་ན་ནི་དེ།,《སྣར་》,རྗོད་ན་ནི།
,,,324,2,《པེ་》《སྣར་》,mཀྱང་།,
,,,325,3,《སྣར་》,བདག,
,,1114,326,1,《པེ་》《སྣར་》,འགྲིབ།,
,,,327,2,《པེ་》《སྣར་》,དོ།།,
,,,328,3,《པེ་》《སྣར་》,དགོས།,
,,1115,329,1,《པེ་》《སྣར་》,mམེད་པ།,
,,,330,2,《པེ་》《སྣར་》,pབྱས་པ།,
,,,331,3,《པེ་》《སྣར་》,ཏེ།,
,,1116,332,1,《པེ་》《སྣར་》,pའབྱུང་བ།,
,,,333,2,《པེ་》《སྣར་》,པ།,
,,,334,3,《སྣར་》,གྱུར།,
,,,335,4,《པེ་》《སྣར་》,སྟེ།,
,,,336,5,《པེ་》《སྣར་》,པོ་པར།,
,,,337,6,《པེ་》《སྣར་》,mལྷག་པར།,
,,,338,7,《པེ་》《སྣར་》,གཟུང་།,
,,1117,339,1,《སྣར་》,གཏོན།,
,,,340,2,《པེ་》《སྣར་》,བརྒལ།,
,,,341,3,《པེ་》《སྣར་》,བརྒལ།,
,,1118,342,1,《པེ་》《སྣར་》,mཡང་།,
,,,343,2,《པེ་》《སྣར་》,བརྟག,
,,,344,3,《པེ་》《སྣར་》,བརྟག,
,,,345,4,《པེ་》《སྣར་》,གྱི་ཚུལ་བཙན།,
,,1119,346,1,《པེ་》《སྣར་》,པ།,
,,,347,2,《པེ་》《སྣར་》,འཇིག,
,,,348,3,《པེ་》《སྣར་》,བརྟག,
,,,349,4,《པེ་》《སྣར་》,འཇིག,
,,,350,5,《པེ་》《སྣར་》,pཔ་མ་ཡིན།,
,,1120,351,1,《པེ་》《སྣར་》,pའཇུག་པར།,
,,,352,2,《པེ་》《སྣར་》,pབྱེད་པ།,
,,,353,3,《པེ་》《སྣར་》,དེའི།,
,,,354,4,《པེ་》《སྣར་》,pམི།,
,,,355,5,《པེ་》《སྣར་》,pཔ།,
,,,356,6,《སྣར་》,ལྟར།,
,,1121,357,1,《པེ་》《སྣར་》,pལ།,
,,,358,2,《པེ་》《སྣར་》,pཞེ།,
,,1122,359,1,《པེ་》《སྣར་》,mཔ།,
,,,360,2,《པེ་》《སྣར་》,pསྟེ།,
,,1123,361,1,《པེ་》《སྣར་》,བརྩལ།,
,,,362,2,《པེ་》《སྣར་》,pརང་བཞིན་གྱི།,
,,,363,3,《པེ་》《སྣར་》,pདེ།,
,,1124,364,1,《པེ་》《སྣར་》,mཔས།,
,,,365,2,《པེ་》《སྣར་》,སོ།,
,,,366,3,《པེ་》《སྣར་》,mཔར།,
,,,367,4,《པེ་》《སྣར་》,བསམ།,
,,,368,5,《པེ་》《སྣར་》,pཡིན།,
,,,369,6,《པེ་》《སྣར་》,ཀྱི།,
,,1125,370,1,《པེ་》《སྣར་》,གྱིས།,
,,,371,2,《པེ་》《སྣར་》,བ།,
,,1126,372,1,《པེ་》《སྣར་》,ལས།,
,,1127,373,1,《པེ་》《སྣར་》,བླང་།,
,,,374,2,《པེ་》《སྣར་》,mན།,
,,,375,3,《པེ་》《སྣར་》,པ་མིན།,
,,1128,376,1,《པེ་》《སྣར་》,mདྲིས་སུ།,
,,,377,2,《པེ་》《སྣར་》,pདོགས་པའི།,
,,,378,3,《པེ་》《སྣར་》,mཀྱིས།,
,,,379,4,《པེ་》《སྣར་》,ཤི།,
,,,380,5,《པེ་》《སྣར་》,mཔ་གང་ཡིན།,
,,,381,6,《པེ་》《སྣར་》,གྱི།,
,,,382,7,《པེ་》《སྣར་》,།།,
,,,383,8,《པེ་》《སྣར་》,mཔ་རྒྱ་ཆེར་བཤད།,
,,,384,9,《པེ་》《སྣར་》,།། །།,
,,1129,385,1,《པེ་》《སྣར་》,ཞུགས།,
,,,386,2,《པེ་》《སྣར་》,ན།,
,,1130,387,1,《པེ་》《སྣར་》,སྟེན།,
,,,388,2,《པེ་》《སྣར་》,pམ།,
,,,389,3,《པེ་》《སྣར་》,pཔ།,
,,1131,390,1,《པེ་》《སྣར་》,རྗེས།,
,,,391,2,《པེ་》《སྣར་》,ཞེས།,
,,,392,3,《པེ་》《སྣར་》,ལྟ།,
,,,393,4,《པེ་》《སྣར་》,pསུ།,
,,1132,394,1,《པེ་》《སྣར་》,འདྲི།,
,,,395,2,《སྣར་》,གྱི།,
,,1133,396,1,《པེ་》《སྣར་》,pགྱི།,
,,,397,2,《པེ་》《སྣར་》,mཡང་།,
,,,398,3,《པེ་》《སྣར་》,པས།,
,,1134,399,1,《པེ་》《སྣར་》,ལྟ་བུ།,
,,,400,2,《པེ་》《སྣར་》,བོས།,
,,,401,3,《པེ་》《སྣར་》,བསྡུད།,
,,,402,4,《པེ་》《སྣར་》,བསམ།,
,,,403,5,《པེ་》《སྣར་》,mཔ།,
,,,404,6,《པེ་》《སྣར་》,ཀྱིས།,
,,,405,7,《སྣར་》,འཐུན།,
,,,406,8,《པེ་》《སྣར་》,mཕྱིར།,
,,,a,9,《པེ་》《སྣར་》,mནི།,
,,1135,407,1,《པེ་》《སྣར་》,མྱོང་།,
,,,408,2,《པེ་》《སྣར་》,སྔགས།,
,,,409,3,《པེ་》《སྣར་》,དབྱུང་།,
,,1136,410,1,《པེ་》《སྣར་》,mདུ།,
,,,411,2,《པེ་》《སྣར་》,mའདི་ལྟ་བུ།,
,,,412,3,《པེ་》《སྣར་》,བོའི།,
,,1137,413,1,《པེ་》《སྣར་》,ཁྱབ་པ།,
,,,414,2,《པེ་》《སྣར་》,བསམས།,
,,,415,3,《པེ་》《སྣར་》,གསུང་བ།,
,,,416,4,《པེ་》,mན།,
,,1138,417,1,《པེ་》《སྣར་》,སོ།,
,,,418,2,《པེ་》,མི།,
,,,419,3,《པེ་》《སྣར་》,དག,
,,,420,4,《པེ་》《སྣར་》,mམ།,
,,,421,5,《པེ་》《སྣར་》,སྒྲ།,
,,,422,6,《པེ་》《སྣར་》,རོ།།,
,,,423,7,《པེ་》《སྣར་》,ཐོབ།,
,,,424,8,《པེ་》《སྣར་》,pམ།,
,,,425,9,《སྣར་》,mའདས།,
,,1139,426,1,《པེ་》《སྣར་》,སྤངས་པའི།,
,,,427,2,《པེ་》《སྣར་》,mདུ།,
,,,428,3,《སྣར་》,mཁྱེར།,
,,,429,4,《པེ་》《སྣར་》,བརྟགས།,
,,,430,5,《པེ་》《སྣར་》,དེས།,
,,1140,431,1,《པེ་》《སྣར་》,རྟེན།,
,,,432,2,《པེ་》《སྣར་》,mཔ།,
,,1141,433,1,《པེ་》,རྟོག་པ་མ།,《སྣར་》,རྟག་པ་མ།
,,1142,434,1,《པེ་》,སོ།,
,,1143,435,1,《པེ་》《སྣར་》,pཡང་།,
,,,436,2,《པེ་》《སྣར་》,པའི།,
,,,437,3,《སྣར་》,ལས།,
,,1144,438,1,《པེ་》《སྣར་》,འཁྲུལ།,
,,,439,2,《པེ་》《སྣར་》,པ་ལ།,
,,,440,3,《པེ་》,pཔ།,
,,,441,4,《པེ་》《སྣར་》,བཅད།,
,,,442,5,《པེ་》《སྣར་》,རྣམ་པ།,
,,,443,6,《པེ་》《སྣར་》,mམ།,
,,1145,444,1,《པེ་》,mཆོས།,
,,,445,2,《པེ་》《སྣར་》,ནི་ལྷག་མ།,
,,1146,446,1,《པེ་》《སྣར་》,pཏེ།,
,,,447,2,《པེ་》《སྣར་》,mགང་།,
,,,448,3,《པེ་》《སྣར་》,རྟོགས།,
,,,449,4,《པེ་》《སྣར་》,གིས།,
,,1147,450,1,《སྣར་》《པེ་》,འདི།,
