མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,268,2,《པེ་》《སྣར་》,ཉིད།,
,,269,3,《པེ་》《སྣར་》,ཏེ།,
,,270,4,《པེ་》《སྣར་》,དེ།,
,,271,5,《སྣར་》,བར་གྱུར་ཏེ།,
,,272,6,《པེ་》,གཅིག,
,48,273,1,《པེ་》《སྣར་》,དེས།,
,,274,2,《པེ་》《སྣར་》,བ།,
,,275,3,《པེ་》《སྣར་》,ཏོ།།,
,,276,4,《པེ་》《སྣར་》,ནས།,
,,277,5,《པེ་》《སྣར་》,mརྣམས།,
,,278,6,《པེ་》《སྣར་》,དོང་།,
,49,279,1,《པེ་》《སྣར་》,གཎྜི།,
,,280,2,《པེ་》《སྣར་》,ནས།,
,,281,3,《པེ་》《སྣར་》,pརྣམས་ཀྱི།,
,,282,4,《པེ་》《སྣར་》,ཁྱེད།,
,,283,5,《པེ་》《སྣར་》,ཀྱི།,
,,284,6,《པེ་》《སྣར་》,གྱིས་ཁྱེད།,
,,285,7,《པེ་》《སྣར་》,དོང་།,
,,286,8,《པེ་》《སྣར་》,པར།,
,,287,9,《པེ་》,mཏེ།,
,,288,10,《པེ་》《སྣར་》,mདེ།,
,,289,11,《པེ་》《སྣར་》,mཔར་གྱུར།,
,,290,12,《པེ་》《སྣར་》,གཎྜི།,
,,291,13,《པེ་》《སྣར་》,ཕན།,
,,292,14,《པེ་》《སྣར་》,ཁྱེད།,
,,293,15,《པེ་》《སྣར་》,བསྲུངས།,
,,294,16,《པེ་》《སྣར་》,pཔ།,
,,295,17,《པེ་》《སྣར་》,འགྲིབ།,
,,296,18,《པེ་》《སྣར་》,པར།,
,,297,19,《སྣར་》,mགཞན།,
,,298,20,《པེ་》《སྣར་》,འགྱུར་རོ།,
,50,299,1,《པེ་》《སྣར་》,སྐྱེད།,
,,300,2,《པེ་》《སྣར་》,ཐོབ།,
,,301,3,《པེ་》《སྣར་》,ལྟུང་།,
,,302,4,《པེ་》《སྣར་》,གཉིས།,
,,303,5,《པེ་》《སྣར་》,ལྟ།,
,51,304,1,《པེ་》《སྣར་》,ལྟ།,
,,305,2,《པེ་》《སྣར་》,མོ།,
,,306,3,《པེ་》《སྣར་》,གྱིས།,
,,307,4,《པེ་》《སྣར་》,ནི།,
,,308,5,《པེ་》《སྣར་》,ལས།,
,,309,6,《པེ་》《སྣར་》,སྟོན།,
,,310,7,《པེ་》《སྣར་》,དུ།,
,,311,8,《པེ་》《སྣར་》,བཟུང་།,
,,312,9,《པེ་》《སྣར་》,སྟེ།,
,,313,10,《པེ་》《སྣར་》,གཟུང་།,
,,314,11,《པེ་》《སྣར་》,ལས།,
,,315,12,《པེ་》《སྣར་》,འདྲ་བའོ།,
,,316,13,《པེ་》《སྣར་》,བསྒོམས།,
,52,317,1,《པེ་》《སྣར་》,རེ།,
,53,318,1,《པེ་》《སྣར་》,སྦྱངས་པའི།,
,,319,2,《པེ་》《སྣར་》,གྱིས།,
,,320,3,《པེ་》《སྣར་》,ཀྱི།,
,,321,a,,,
,54,322,1,《པེ་》《སྣར་》,mནི།,
,,323,2,《པེ་》《སྣར་》,པའི།,
,55,324,1,《སྣར་》,mཔ།,
,,325,2,《པེ་》《སྣར་》,ཕྱིར།,
,,326,3,《པེ་》,གྱི།,
,,327,4,《པེ་》《སྣར་》,འཇིག,
,,328,5,《པེ་》《སྣར་》,pཔ།,
,,329,6,《པེ་》《སྣར་》,ནས།,
,,330,7,《པེ་》《སྣར་》,བླང་བས།,
,,331,8,《པེ་》《སྣར་》,དག,
,56,332,1,《པེ་》《སྣར་》,mལ།,
,,333,2,《པེ་》《སྣར་》,mལ།,
,,334,3,《པེ་》《སྣར་》,ཏོ།,
,57,335,1,《པེ་》《སྣར་》,གསུངས་སོ།།,
,,336,2,《པེ་》《སྣར་》,པ།,
,,337,3,《པེ་》《སྣར་》,ཁྲིར།,
,,338,4,《པེ་》《སྣར་》,mདེ།,
,,339,5,《པེ་》《སྣར་》,ལྡེམས།,
,,340,6,《པེ་》《སྣར་》,ཀྱི།,
,,341,7,《པེ་》《སྣར་》,pཔར།,
,,342,8,《པེ་》《སྣར་》,བྱེ་བར་མི།,
,58,343,1,《པེ་》《སྣར་》,བོས།,
,,344,2,《པེ་》《སྣར་》,pཡང་།,
,,345,3,《པེ་》《སྣར་》,ཞིག་ཡིན།,
,,346,4,《པེ་》《སྣར་》,ལྟ།,
,,347,5,《པེ་》《སྣར་》,ཤེས།,
,,348,6,《པེ་》《སྣར་》,ཀྱི།,
,,349,7,《པེ་》《སྣར་》,ལྟ།,
,,350,8,《པེ་》《སྣར་》,ཤེས།,
,,351,9,《པེ་》《སྣར་》,ཚུལ།,
,,352,10,《པེ་》《སྣར་》,ཀྱི།,
,59,353,1,《སྣར་》,ཀྱི།,
,,354,2,《པེ་》《སྣར་》,pཀྱང་།,
,,355,3,《སྣར་》,གི།,
,,356,4,《པེ་》《སྣར་》,ཀྱི།,
,,357,5,《པེ་》《སྣར་》,ཀྱི།,
,,358,6,《པེ་》《སྣར་》,mཀྱིས།,
,,359,7,《པེ་》《སྣར་》,འཐོབ།,
,,360,8,《པེ་》《སྣར་》,pཏུ།,
,60,361,1,《པེ་》《སྣར་》,ཀྱི།,
,,362,2,《པེ་》《སྣར་》,གིས།,
,,363,3,《པེ་》《སྣར་》,དཔའ།,
,,364,4,《པེ་》《སྣར་》,pན།,
,,365,5,《པེ་》《སྣར་》,pཔ།,
,,366,6,《པེ་》《སྣར་》,འགྱུར།,
,,367,7,《པེ་》《སྣར་》,pདག,
,,368,8,《པེ་》《སྣར་》,mདག,
,,369,9,《པེ་》《སྣར་》,ལྟ་བ།,
,,370,10,《པེ་》《སྣར་》,pདེ་བཞིན་གཤེགས་པ།,
,,371,11,《པེ་》《སྣར་》,mཔ།,
,,372,12,《པེ་》《སྣར་》,བློག,
,61,373,1,《པེ་》《སྣར་》,པར།,
,,374,2,《པེ་》《སྣར་》,ཀྱི།,
,,375,3,《པེ་》《སྣར་》,བ་དང་།,
,,376,4,《པེ་》《སྣར་》,གཅད།,
,,377,5,《པེ་》《སྣར་》,གན་དུ།,
,,378,6,《པེ་》《སྣར་》,ཀྱི།,
,,379,7,《པེ་》《སྣར་》,བསྐུར།,
,,380,8,《པེ་》《སྣར་》,བར།,
,62,381,1,《པེ་》《སྣར་》,བགོ་དགོས།,
,,382,2,《པེ་》《སྣར་》,ལྟུང་།,
,,383,3,《པེ་》《སྣར་》,བྱ་བ།,
,,384,4,《སྣར་》,བྱེད།,
,,385,5,《པེ་》《སྣར་》,ལ།,
,,386,6,《པེ་》《སྣར་》,pརྣམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ།,
,,387,7,《པེ་》《སྣར་》,སྒྲུབ།,
