མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,97,258,1,《པེ་》《སྣར་》,དེ།,
,99,259,1,《པེ་》《སྣར་》,པས་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་བསླབ་པར་བྱའོ།།,
,,260,2,《པེ་》《སྣར་》,mསྐོམ་པ་རྣམས།,
,100,261,1,《པེ་》《སྣར་》,།། །།,
,,262,2,《པེ་》《སྣར་》,ཆེ།,
,,263,3,《པེ་》《སྣར་》,པོ།,
,,264,4,《སྣར་》,ཐོག,
,,265,5,《པེ་》《སྣར་》,བསྒྱིངས།,
,,266,6,《པེ་》《སྣར་》,གི།,
,,267,7,《པེ་》《སྣར་》,གནོན།,
,,268,8,《པེ་》《སྣར་》,mན།,
,,269,9,《པེ་》,mའཁོར།,
,101,270,1,《པེ་》《སྣར་》,mབརྗོད་དུ་མེད་པའི་ཡང་།,
,,271,2,《པེ་》《སྣར་》,mརབ་ཏུ།,
,,272,3,《པེ་》《སྣར་》,mན།,
,,273,4,《པེ་》《སྣར་》,པ།,
,,274,5,《སྣར་》,pཔ་ཀུན།,
,102,275,1,《པེ་》《སྣར་》,པ།,
,103,276,1,《པེ་》《སྣར་》,པོ།,
,,277,2,《པེ་》《སྣར་》,བྱ་སྟེ།,
,,278,3,《པེ་》《སྣར་》,mནི།,
,104,279,1,《པེ་》《སྣར་》,ཚེའི།,
,,280,2,《པེ་》《སྣར་》,ཚེའི།,
,,281,3,《པེ་》《སྣར་》,།། །།,
,105,282,1,《པེ་》《སྣར་》,mན།,
,,283,2,《སྣར་》,mབདག,
,,284,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,285,4,《པེ་》《སྣར་》,mལྷའི་རིས་རྣམས་ནི་འཕེལ་བར་འགྱུར་རོ།།,
,,286,5,《པེ་》《སྣར་》,mཔ།,
,,287,6,《པེ་》《སྣར་》,mབ,
,106,288,1,《པེ་》《སྣར་》,ལྷ།,
,,289,2,《པེ་》《སྣར་》,mཚེ།,
,,290,3,《པེ་》《སྣར་》,གིས།,
,,291,4,《སྣར་》,ཤེས།,
,,292,5,《པེ་》《སྣར་》,pབ།,
,107,293,1,《པེ་》《སྣར་》,སྟེན།,
,,294,2,《པེ་》《སྣར་》,བྲང་།,
,,295,3,《པེ་》《སྣར་》,mརྣམས།,
,,296,4,《པེ་》《སྣར་》,འགྲོགས་ཤེས།,
,,297,5,《པེ་》《སྣར་》,mརྣམས།,
,,298,6,《པེ་》《སྣར་》,mལ།,
,,299,7,《པེ་》《སྣར་》,pཔར།,
,,300,8,《པེ་》《སྣར་》,mལ།,
,108,301,1,《པེ་》《སྣར་》,སྒྱུ་མའི།,
,,302,2,《པེ་》《སྣར་》,mཡང་།,
,,303,3,《པེ་》《སྣར་》,བུ་ཡིན་ནོ།,
,109,304,1,《པེ་》《སྣར་》,mཡང་།,
,,305,2,《པེ་》《སྣར་》,mཡང་།,
,,306,3,《པེ་》《སྣར་》,mཡང་།,
,,307,4,《པེ་》《སྣར་》,mཡང་།,
,,308,5,《པེ་》《སྣར་》,འདི།,
,110,309,1,《པེ་》《སྣར་》,mབཞིན།,
,111,310,1,《པེ་》《སྣར་》,རྟོགས་ཏེ།,
,112,311,1,《པེ་》《སྣར་》,དཔའ།,
,,312,2,《སྣར་》,pབ།,
,,313,3,《པེ་》《སྣར་》,དེ།,
,,314,4,《པེ་》,ལྟ་བུར།,《སྣར་》,mལྟ་བུ།
,113,315,1,《སྣར་》,བསྒོམ།,
,,316,2,《སྣར་》,བུར།,
,114,317,1,《སྣར་》,གིས།,
,115,318,1,《པེ་》《སྣར་》,བར།,
,116,319,1,《སྣར་》,གིས།,
,118,320,1,《པེ་》《སྣར་》,mཀྱི་ཤེས་རབ།,
,,321,2,《པེ་》《སྣར་》,བྱས་ཏེ།,
,,322,3,《པེ་》《སྣར་》,བཟླའོ།,
,,323,4,《པེ་》《སྣར་》,mཉེ་བར་གནས་པ་དེའི་དོན་དུ་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་ཤེས་རབ།,
,,324,6,《པེ་》《སྣར་》,བཟླའོ།,
,,325,7,《སྣར་》,བུ་ལ།,
,119,326,1,《པེ་》《སྣར་》,བཟླའོ།,
,,327,2,《པེ་》《སྣར་》,pནི།,
,,328,3,《པེ་》《སྣར་》,བཟླ།,
,120,329,1,《པེ་》《སྣར་》,བཟླ།,
,,330,2,《སྣར་》,བུ།,
,,331,3,《པེ་》《སྣར་》,སྤྱད་དེ།,
,,332,4,《པེ་》《སྣར་》,བཟླའོ།,
,121,333,1,《པེ་》《སྣར་》《ཅོ་》,ཀྱི།,
,,334,2,《པེ་》《སྣར་》,pནི།,
,,335,3,《པེ་》《སྣར་》,ལ།,
,,336,4,《པེ་》《སྣར་》,mདེ,
,122,337,1,《སྣར་》,བཞག,
,,338,2,《སྣར་》,mབ།,
,,339,3,《པེ་》,pདེ་བཞིན་གཤེགས་པའི་སྟོབས་བཅུ་དང་། མི་འཇིགས་པ་བཞི་དང་། སོ་སོ་ཡང་དག་པར་རིགས་པ་དང་། 《སྣར་》pདེ་བཞིན་གཤེགས་པའི་སྟོབས་ ་་་་་་ སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི་དང་།,
,123,340,1,《པེ་》《སྣར་》,པའི།,
,,341,2,《པེ་》《སྣར་》,mགྱི་ལྷ།,
,124,342,1,《པེ་》《སྣར་》,pམ།,
,,343,2,《པེ་》《སྣར་》,ཡིན་ནོ།,
,,344,3,《སྣར་》,དྲག,
,125,345,1,《པེ་》,འཇིས།,
,,346,2,《པེ་》《སྣར་》,mདེ་བཞིན་གཤེགས་པའི་སྟོབས་བཅུ་རྣམས་དང་།,
,,347,3,《སྣར་》,བསྒྲུབ།,
,,348,4,《པེ་》《སྣར་》,།། །།,
,127,349,1,《སྣར་》,ས།,
,128,350,1,《པེ་》《སྣར་》,mཞེས་བརྗོད་པར་བྱའོ།,
,,351,2,《པེ་》《སྣར་》,mདག,
,,352,3,《པེ་》《སྣར་》,ནས།,
,,353,4,《པེ་》《སྣར་》,mཞེས་བྱ་བའམ་མི་བརྩོན།,
,,354,5,《པེ་》《སྣར་》,pཡང་།,
,,355,6,《པེ་》《སྣར་》,mལ།,
,129,356,1,《པེ་》《སྣར་》,pབྱ་བར།,
,,357,2,《སྣར་》,mབྱ་བར།,
,,358,3,《པེ་》《སྣར་》,mཆོས།,
,130,359,1,《སྣར་》,mཔ།,
,,360,2,《པེ་》《སྣར་》,བྱེད་དོ།,
,,361,3,《སྣར་》,mཔ།,
,,362,4,《སྣར་》,pཔ།,
,,363,5,《པེ་》《སྣར་》,pལ།,
,,364,6,《པེ་》《སྣར་》,pལ།,
,,365,7,《པེ་》《སྣར་》,།། །།,
,131,366,1,《པེ་》,དང་།,
,,367,2,《པེ་》《སྣར་》《ཅོ་》,pདོ།,
,132,368,1,《སྣར་》,འདོག,
,,369,2,《པེ་》《སྣར་》,།། །།,
