མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,181,6,《པེ་》《སྣར་》,ནས།,
,,182,7,《པེ་》《སྣར་》,ནས།,
,,183,8,《སྣར་》,ནས།,
,317,184,1,《སྣར་》,དམ།,
,,185,2,《པེ་》,pལ།,
,,186,3,《པེ་》《སྣར་》,བྷུ།,
,,187,4,《པེ་》《སྣར་》,ཀྱིས།,
,,188,5,《སྣར་》,དམ།,
,,189,6,《པེ་》《སྣར་》,བརྒྱ།,
,,190,7,《པེ་》《སྣར་》,བཏང་།,
,,191,8,《པེ་》《སྣར་》,ཀླག,
,,192,9,《པེ་》《སྣར་》,བརླབས།,
,318,193,1,《པེ་》《སྣར་》,རྗེ།,
,,194,2,《པེ་》《སྣར་》,mམ།,
,,195,3,《པེ་》《སྣར་》,འཕངས།,
,,196,4,《པེ་》《སྣར་》,བཏང་།,
,,197,5,《པེ་》《སྣར་》,དྷུ་ཏི།,
,,198,6,《པེ་》《སྣར་》,ཡིས།,
,319,199,1,《པེ་》《སྣར་》,mཔ།,
,,200,2,《པེ་》《སྣར་》,པའི།,
,,201,3,《པེ་》《སྣར་》,མའོ།,
,,202,4,《པེ་》,ཀྱི།,
,,203,5,《སྣར་》,འཕྲོག,
,,204,6,《པེ་》《སྣར་》,བརྒྱུད།,
,,205,7,《ཅོ་》,mཉམས།,
,,206,8,《པེ་》《སྣར་》,མཁའི།,
,,207,9,《པེ་》《སྣར་》,བསྒོམས།,
,320,208,1,《པེ་》《སྣར་》,དང་།,
,,209,2,《པེ་》《སྣར་》,mཔ།,
,,210,3,《པེ་》《སྣར་》,རིག,
,,211,4,《པེ་》《སྣར་》,སྒོམ།,
,,212,5,《པེ་》《སྣར་》,བྱེད།,
,,213,6,《པེ་》《སྣར་》,mཔ།,
,321,214,1,《པེ་》《སྣར་》,ལྟར།,
,,215,2,《པེ་》《སྣར་》,mནང་དུ།,
,,216,3,《པེ་》《སྣར་》,ཀྱིས།,
,,217,4,《པེ་》《སྣར་》,mཀྱི།,
,322,218,1,《པེ་》《སྣར་》,ལ།,
,,219,2,《པེ་》《སྣར་》,mནས།,
,323,220,1,《པེ་》《སྣར་》,pཉིད།,
,,221,2,《པེ་》《སྣར་》,ལྷག,
,324,222,1,《སྣར་》,སངས།,
,,223,2,《པེ་》《སྣར་》,ཏི།,
,,224,3,《པེ་》《སྣར་》,ཏཾ་མྲ་དྭི།,
,325,225,1,《པེ་》《སྣར་》,སྐྱོད།,
,,226,2,《སྣར་》,ཀྱིས།,
,,227,3,《སྣར་》,pདེ།,
,,228,4,《པེ་》,pམི།,
,,229,5,《པེ་》《སྣར་》,སྟོངས།,
,,230,6,《སྣར་》,དེའི།,
,326,231,1,《པེ་》《སྣར་》,ཁྱད།,
,,232,2,《པེ་》《སྣར་》,ཡི།,
,,233,3,《པེ་》《སྣར་》,ཟློག,
