མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,129,2,《པེ་》《སྣར་》,༽དང་གཏན་ཚིགས་གཞན་ཡིན་ནམ་གཞན་ཡིན་ནམ་གཞན་ཡིན་པ་ཡིན་གྲང་།   གལ་ཏེ་གཞན་ཉིད་ན་ཅི་ཞིག་འཐོབ་པར་འགྱུར།   དམ་བཅའ་བ་ནི་སྣམ་བུ་དཀར་པོ་ཉིད་ཡིན་པའོ།   །གཞན་ཡང་གཏན་ཚིགས་གང་ཡིན་ཞེ་ན།  ནག་པོ་ཉིད་ཀྱི་ཕྱིར་རོ།     །འདོད་པ་མ་ཡིན་ཏེ།   གང་གི་ཕྱིར་དཀར་པོ་ཉིད་ནི་སྒྲུབ་བྱེད་ནག    ,
,,130,3,《པེ་》《སྣར་》,༽གཞན།,
,,131,4,《པེ་》《སྣར་》,པའོ།,
,,132,5,《སྣར་》,ཚིག,
,,133,6,《པེ་》《སྣར་》,ལ་སོགས་པ།,
,,134,7,《པེ་》《སྣར་》,སྡུད་པ།,
,,135,8,《པེ་》《སྣར་》,བཅའ་བ།,
,,136,9,《པེ་》《སྣར་》,སྡུད་པ།,
,,137,10,《པེ་》《སྣར་》,མེད་པ།,
,285,138,1,《པེ་》《སྣར་》,ན།,
,,139,2,《པེ་》《སྣར་》,ནས།,
,,140,3,《པེ་》《སྣར་》,པ།,
,,141,4,《པེ་》《སྣར་》,བདག་ནི།,
,,142,5,《པེ་》《སྣར་》,གཏན་ཚིགས་དང་དཔེ་ལ་ཡང་དེ་བཞིན་ནོ།      །གཞན་ཡང་།    གཅིག་དང་གཅིག་བརྗོད་པའི་ཕྱིར་གཅིག་ལ་གཅིག་མེད་དོ།        །གང་གི་ཚེ་དམ་བཅའ་བ་བརྗོད་པ།,
,,143,6,《པེ་》《སྣར་》,༽ལ་སོགས་པ་མེད་ལ་གཏན་ཚིགས།,
,,144,7,《པེ་》《སྣར་》,ཀྱིས།,
,,145,8,《པེ་》《སྣར་》,བཅས་པ།,
,,146,9,《པེ་》《སྣར་》,བྱ་སྟེ།,
,,147,10,《པེ་》《སྣར་》,༼ཏིའི་ཡི་གེ་དང་།,
,,148,11,《པེ་》《སྣར་》,༽པྲའི།,
,,149,12,《པེ་》《སྣར་》,མཆུ།,
,286,150,1,《པེ་》《སྣར་》,ཅིག,
,,151,2,《པེ་》《སྣར་》,བརྟག,
,,152,3,《པེ་》《སྣར་》,དེའི།,
,,153,4,《པེ་》《སྣར་》,༽ལ།,
,,154,5,《པེ་》《སྣར་》,ལྟར།,
,,155,6,《པེ་》《སྣར་》,༼ལ།,
,,156,7,《པེ་》《སྣར་》,པས།,
,,157,8,《པེ་》《སྣར་》,རྒྱུ།,
,,158,9,《པེ་》《སྣར་》,གཉི་ག,
,,159,10,《པེ་》《སྣར་》,ཅིག,
,,160,11,《པེ་》《སྣར་》,ཅིག,
,,161,12,《པེ་》《སྣར་》,ཅིག,
,,162,13,《པེ་》《སྣར་》,ཅིག,
,,163,14,《པེ་》《སྣར་》,པོ་དང་ནུས།,
,,164,15,《པེ་》《སྣར་》,ཅིག,
,,165,16,《པེ་》《སྣར་》,ཏེ།,
,287,166,1,《པེ་》《སྣར་》,༽དང་།,
,,167,2,《པེ་》《སྣར་》,༽དུ།,
,,168,3,《པེ་》《སྣར་》,ཅིག,
,,169,4,《པེ་》《སྣར་》,བརྗོད་པར།,
,,170,5,《པེ་》《སྣར་》,ཀྱི།,
,288,171,1,《པེ་》《སྣར་》,ལྷས་བྱིན།,
,,172,2,《པེ་》《སྣར་》,སྟིང་།,
,,173,3,《པེ་》《སྣར་》,ཚིག་འཇིགས།,
,,174,4,《པེ་》《སྣར་》,པཎ་ཌི་ར་ས་དང་སྒྱུར་རྩི།,
,,175,5,《པེ་》《སྣར་》,བརྗོད།,
,,176,6,《པེ་》《སྣར་》,༽དང་།,
,,177,7,《པེ་》《སྣར་》,༼ནི།,
,,178,8,《པེ་》,མགུ།,
,,179,9,《པེ་》《སྣར་》,རླུང་།,
,,180,10,《པེ་》《སྣར་》,བཟུང་།,
,,181,11,《པེ་》《སྣར་》,བརྗོད།,
,,182,12,《པེ་》《སྣར་》,བརྗོད།,
,289,183,1,《པེ་》《སྣར་》,ཅིག,མ་མདོག
,,184,2,《པེ་》《སྣར་》,མི་མདོག,《སྣར་》,
,,185,3,《པེ་》《སྣར་》,པ།,
,,186,4,《པེ་》《སྣར་》,ངེས་པར།,
,,187,5,《པེ་》《སྣར་》,བརྗོད།,
,,188,6,《པེ་》《སྣར་》,ཏེ།,
,,189,7,《པེ་》《སྣར་》,ཀྱིས།,
,290,190,1,《པེ་》《སྣར་》,སྟེ།,
,,191,2,《པེ་》《སྣར་》,༼ཕྱིར།,
,,192,3,《པེ་》《སྣར་》,༼སུ།,
,,193,4,《པེ་》《སྣར་》,ནི།,
,,194,5,《པེ་》《སྣར་》,ལྟར།,
,,195,6,《པེ་》《སྣར་》,༽འཁྲུལ་པ་དང་བཅས་པར་མི་འགྱུར་རོ།།      །འོན་ཏེ་རང་གི་ངོ་བོ་འདོར་བར་བྱེད་པ་དེ་ལྟ་ན་ཡང་།,
,291,196,1,《པེ་》《སྣར་》,༽པ།,
,,197,2,《པེ་》《སྣར་》,ག་ལས་ཞེ།,
,,198,3,《པེ་》《སྣར་》《ཅོ་》,དེ།,
,292,199,1,《པེ་》《སྣར་》,༽དེ།,
,,200,2,《པེ་》《སྣར་》,ཀྱིས།,
,,201,3,《པེ་》《སྣར་》《ཅོ་》,༼གཏན།,
,,202,4,《པེ་》《སྣར་》,ནི།,
,,203,5,《པེ་》《སྣར་》,ཅིག,
,,204,6,《པེ་》《སྣར་》,༽དང་།,
,293,205,1,《པེ་》《སྣར་》,ཀྱིས།,
,,206,2,《པེ་》《སྣར་》,༼ཕྱིར།,
