མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
,,81,3,《པེ་》《སྣར་》,བའི།,
,,82,4,《པེ་》《སྣར་》,བའི།,
,,83,5,《པེ་》《སྣར་》,༼ཕྱིར།,
,,84,6,《པེ་》,གང་།,
,,85,7,《པེ་》《སྣར་》,རྟག,
,,86,8,《པེ་》《སྣར་》,པ།,
,,87,9,《པེ་》《སྣར་》,ལས།,
,457,88,1,《པེ་》《སྣར་》,ཏེ།,
,,89,2,《པེ་》《སྣར་》,སྐྱེའོ།,
,,90,3,《པེ་》《སྣར་》,དེའི།,
,,91,4,《པེ་》《སྣར་》,ཅེས་གྲག,
,,92,5,《པེ་》《སྣར་》,ལས།,
,,93,6,《པེ་》《སྣར་》,༽ཐམས་ཅད།,
,,94,7,《པེ་》《སྣར་》,རྟེན།,
,,95,8,《པེ་》《སྣར་》,འདི།,
,,96,9,《པེ་》《སྣར་》,ཏེ།,
,,97,10,《པེ་》《སྣར་》,ཏེ།,
,,98,11,《པེ་》《སྣར་》,ལས་རྟེན།,
,,99,12,《པེ་》《སྣར་》,བྱ་བའི།,
,458,100,1,《པེ་》《སྣར་》,བརྟག,
,,101,2,《པེ་》《སྣར་》,༼མི།,
,,102,3,《པེ་》《སྣར་》,འདི་ཁ་དྲང་བར།,
,,103,4,《པེ་》《སྣར་》,སྒྲུབ།,
,,104,5,《པེ་》《སྣར་》,ཀོ།,
,,105,6,《པེ་》《སྣར་》,གིས།,
,,106,7,《པེ་》《སྣར་》,ག,
,,107,8,《པེ་》《སྣར་》,༼ཡང་།,
,,108,9,《པེ་》《སྣར་》,༼ཐ།,
,,109,10,《པེ་》《སྣར་》,པ་སྣམ་བུའི།,
,459,110,1,《པེ་》《སྣར་》,༽དེ་རྐྱེན་མི་འཐད།,
,,111,2,《པེ་》《སྣར་》,ལས།,
,,112,3,《པེ་》《སྣར་》,པ།,
,,113,4,《པེ་》《སྣར་》,༼སྟེ།,
,,114,5,《པེ་》《སྣར་》,ན།,
,,115,6,《པེ་》《སྣར་》,དེ།,
,,116,7,《པེ་》《སྣར་》,རྐྱེན།,
,,117,8,《པེ་》《སྣར་》,༽ན།,
,,118,9,《པེ་》,སྔར།,
,460,119,1,《པེ་》《སྣར་》,༽པ།,
,,120,2,《པེ་》《སྣར་》,བ།,
