སྡེ་	པེ་	ཅོ་	སྣར་
གྱུར་པ འི	འགྱུར་བ འི	གྱུར་པ འི	འགྱུར་བ འི	
བྱ་སྟེ	བྱས་ཏེ	བྱ་སྟེ	བྱས་ཏེ	
གཅད་	བཅད་	གཅད་	བཅད་	
བཙོང་གིས	བཙོངས་ཀྱིས	བཙོང་གིས	བཙོངས་ཀྱིས	
རིངས་	རིང་	རིངས་	རིང་	
སྐྱོང་བར་བྱེད་གྱུར་པ	སྐྱོ་བ ར་བྱེད་འགྱུར་བ	སྐྱོང་བར་བྱེད་གྱུར་པ	སྐྱོ་བ ར་བྱེད་འགྱུར་བ	
བྱ་བ	བྱས་པ	བྱ་བ	བྱས་པ	
འགྱུར་བ	གྱུར་པ	འགྱུར་བ	གྱུར་པ	
གཟུང་བ ར་	བཟུང་བར་	གཟུང་བ ར་	བཟུང་བར་	
གཞག་	བཞག་	གཞག་	བཞག་	
འཚོགས་	ཚོགས་	འཚོགས་	ཚོགས་	
ལྟོས་	བལྟོས་	ལྟོས་	བལྟོས་	
ལྟོས་	བལྟོས་དང་བལྟོས་	ལྟོས་	བལྟོས་དང་བལྟོས་	
རྗོད་	བརྗོད་	རྗོད་	བརྗོད་	
རྟག་	བརྟག་	རྟག་	བརྟག་	
སྒྲུབ་	བསྒྲུབས་	སྒྲུབ་	བསྒྲུབས་	
བྱས་	བྱེད་	བྱས་	བྱེད་	
གསུངས་	གསུང་	གསུངས་	གསུང་	
གཟུང་	གཟུངས་	གཟུང་	གཟུངས་	
གྲུབ་	འགྲུབ་	གྲུབ་	འགྲུབ་	
སྒོམ་	བསྒོམ་	སྒོམ་	བསྒོམ་	
སྐྱེས་	སྐྱེ་	སྐྱེས་	སྐྱེ་	
གྱུར་	འགྱུར་	གྱུར་	འགྱུར་	
འདྲེ་	འདྲེས་	འདྲེ་	འདྲེས་	
འཐད་	ཐད་	འཐད་	ཐད་	
བྱས་	བྱ་	བྱས་	བྱ་	
ལ་	ལ འང་	ལ་	ལ འང་	
བྱུང་	འབྱུང་	བྱུང་	འབྱུང་	
རྟོགས་	རྟོག་	རྟོགས་	རྟོག་	
འགོམ་	བགོམ་	འགོམ་	བགོམ་	
སྐྱེ་	སྐྱེས་	སྐྱེ་	སྐྱེས་	
བསྐྱེད་	སྐྱེད་	བསྐྱེད་	སྐྱེད་	
ལྟོས་	བལྟོས་	ལྟོས་	བལྟོས་	
ལྟོས་	བལྟོས་	ལྟོས་	བལྟོས་	
ལྟོས་	བལྟོས་	ལྟོས་	བལྟོས་	
སྐྱེ་	སྐྱེད་	སྐྱེ་	སྐྱེད་	
སྐྱེ་དབང་མེད	སྐྱེད་པ་མིན	སྐྱེ་དབང་མེད	སྐྱེད་པ་མིན	
སྒོམ་	བསྒོམ་	སྒོམ་	བསྒོམ་	
གྱུར་	འགྱུར་	གྱུར་	འགྱུར་	
གཡང་	གཡངས་	གཡང་	གཡངས་	
གྱུར	འགྱུར	གྱུར	འགྱུར	
འགྱུར་	གྱུར་	འགྱུར་	གྱུར་	
བཟུང་	གཟུང་	བཟུང་	གཟུང་	
བསམ་	བསམས་	བསམ་	བསམས་	
རྗེ འི་རླན་སྤྱན་	རྗེས་བརླན་ཅན་	རྗེ འི་རླན་སྤྱན་	རྗེས་བརླན་ཅན་	
བརྩེགས་	རྩེགས་	བརྩེགས་	རྩེགས་	
གྱུར	འགྱུར	གྱུར	འགྱུར	
འགྱུར	གྱུར	འགྱུར	གྱུར	
བསམ་	བསམས་	བསམ་	བསམས་	
སྲུང་བ ར་	བསྲུང་བ་	སྲུང་བ ར་	བསྲུང་བ་	
གཟུང་	བཟུང་	གཟུང་	བཟུང་	
གྲུབ་	འགྲུབ་	གྲུབ་	འགྲུབ་	
གྲུབ་	འགྲུབ་	གྲུབ་	འགྲུབ་	
སྤངས་	སྤང་	སྤངས་	སྤང་	
སྒོམ་	བསྒོམ་	སྒོམ་	བསྒོམ་	
སྤྱད་	སྤྱད་	སྤྱོད་	སྤྱད་	
