སྡེ་	པེ་	ཅོ་	སྣར་
གིས	གིས	གི	གིས	
མཛའ་	མཛར་	མཛའ་	མཛར་	
གྱིས་ནི་	ཞིག་གི་	གྱིས་ནི་	ཞིག་གི་	
དང་	ལ་	དང་	ལ་	
བར	བ ས	བར	བ ས	
ལས་	ལ་	ལས་	ལ་	
སྟི་	སྟི ར་	སྟི་	སྟི ར་	
འདི་སྦ་བ་	ནི་སྦ་བར་	འདི་སྦ་བ་	ནི་སྦ་བར་	
པ་	པ ར་	པ་	པ ར་	
འགྲོ་	འགྲོ ར་	འགྲོ་	འགྲོ ར་	
ན་	ན འང་	ན་	ན འང་	
པ འང་	པ འམ	པ འང་	པ འམ	
འདི་	དེ་	འདི་	དེ་	
ནི་	གྱིས་	ནི་	གྱིས་	
འདི ར་	འདི ས་	འདི ར་	འདི ར་	
ནས	ན	ནས	ན	
གང་	འགའ་	གང་	འགའ་	
དེ ས་	དེ་	དེ ས་	དེ་	
ཅི ས་	ཅི་	ཅི ས་	ཅི་	
ལས་	ལ་	ལས་	ལ་	
ལ འང་	ལ	ལ འང་	ལ	
དེ ས་	དེ་	དེ ས་	དེ་	
བ འི	བ འོ	བ འི	བ འི	
ཡི་	ཡིས་	ཡི་	ཡིས་	
ཉིད་	གི་	ཉིད་	གི་	
ཡིས	ཡི	ཡིས	ཡིན	
དེ ས་གཞན་	ཡིས་གཞད་	དེ ས་གཞན་	ཡིས་གཞན་	
བ ས	བ	བ ས	བ	
འདི ར་	འདི་	འདི ར་	འདི་	
དུ	ན	དུ	ན	
པ འི་	པ ས་	པ འི་	པ ས་	
ཡིས་ཚེ་གཏུགས་ན	ཡི་ཚིག་གཏུགས་ནས	ཡིས་ཚེ་གཏུགས་ན	ཡི་ཚིག་གཏུགས་ནས	
ལ་	ལ་	བ་	ལ་	
གིས	གི	གིས	གི	
པ	པ འི	པ	པ འི	
གི་	གིས་	གི་	གིས་	
པ ས་དེ ར་	པ་དེ ས་	པ ས་དེ ར་	པ་དེ ས་	
ན འང་	ན་	ན འང་	ན་	
པོ་	དུ་	པོ་	དུ་	
ན་	ན་	ནས་	ན་	
པ་	པ ར་	པ་	པ ར་	
ཀྱིས་ནི་ཆོག་	ཀྱི་ནི་མཆོག་	ཀྱིས་ནི་ཆོག་	ཀྱི་ནི་མཆོག་	
ལྟ ས་	ལྟར་	ལྟ ས་	ལྟར་	
བུ འི་	བུ་	བུ འི་	བུ་	
གི	གིས	གི	གིས	
ཐིགས་	ཐིག་	ཐིགས་	ཐིག་	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
ཡི	ཡིས	ཡི	ཡིས	
བྱ་བ	བར་བྱ	བྱ་བ	བར་བྱ	
ཡིས	ཡི	ཡིས	ཡི	
ལ་	ལ འང་	ལ་	ལ འང་	
བ་	བར་	བ་	བར་	
པ ས་	པ་	པ ས་	པ་	
ལྟར་བདག་གནོད་	ལྟ ས་བདག་ཉིད་	ལྟར་བདག་གནོད་	ལྟ ས་བདག་ཉིད་	
པ ར	པ	པ ར	པ	
གི་	ཉིད་	གི་	ཉིད་	
འདི འི་	འདི་	འདི འི་	འདི་	
ཡི་	ཡིས་	ཡི་	ཡིས་	
ཉིད་ལྷག་བྱ འི་	གི་ལྷག་བྱ་	ཉིད་ལྷག་བྱ འི་	གི་ལྷག་བྱ་	
གི་	ནི་	གི་	ནི་	
ལས་	བ ས་	ལས་	བ ས་	
གི་གནོད་	གིས་སྣོད་	གི་གནོད་	གིས་སྣོད་	
འདས་	འདའ་	འདས་	འདའ་	
