མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,296,7,《པེ་》,འགྲུབ་པར།《སྣར་》གྲུབ་པར།,,,,,
,,297,8,《པེ་》《སྣར་》,mམ།,,,,,
,,298,9,《པེ་》《སྣར་》,པ་རང་བཞིན།,,,,,
,,299,10,《པེ་》《སྣར་》,པས།,,,,,
,,300,11,《པེ་》《སྣར་》,པ།,,,,,
,,301,12,《པེ་》《སྣར་》,པར།,,,,,
,,302,13,《པེ་》《སྣར་》,ཅེ།,,,,,
,,303,14,《པེ་》《སྣར་》,སོ།,,,,,
,,304,15,《པེ་》《སྣར་》,མ་འགྲུབ་པ་དེ།,,,,,
,,305,16,《པེ་》《སྣར་》,འགྲུབ།,,,,,
,859,306,1,《པེ་》《སྣར་》,གི།,,,,,
,,307,2,《པེ་》《སྣར་》,མ།,,,,,
,,308,3,《པེ་》《སྣར་》,mལ།,,,,,
,,309,4,《པེ་》《སྣར་》,pམ་ཡིན།,,,,,
,,310,5,《པེ་》《སྣར་》,mཔ།,,,,,
,,311,6,《པེ་》《སྣར་》,mཐམས་ཅད་ན།,,,,,
,,312,7,《པེ་》《སྣར་》,pསྒྲུབ་པ།,,,,,
,860,313,1,《པེ་》《སྣར་》,པར།,,,,,
,,314,2,《པེ་》《སྣར་》,བ།,,,,,
,,315,3,《པེ་》《སྣར་》,རྣམ་པར་བརྟགས།,,,,,
,,316,4,《པེ་》《སྣར་》,mསུ།,,,,,
,,317,5,《པེ་》《སྣར་》,བཅའ་བའི།,,,,,
,,318,6,《པེ་》《སྣར་》,pན།,,,,,
,,319,7,《པེ་》《སྣར་》,mཞེས་བྱ་བ།,,,,,
,,320,8,《པེ་》《སྣར་》,དག,,,,,
,,321,9,《པེ་》《སྣར་》,mའགལ་བའི།,,,,,
,861,322,1,《པེ་》《སྣར་》,mརྟོགས་ཀྱང་དེ།,,,,,
,,323,2,《པེ་》《སྣར་》,ཀྱང་།,,,,,
,,324,3,《པེ་》,པར།,,,,,
,,325,4,《པེ་》《སྣར་》,ཏུ།,,,,,
,,326,5,《པེ་》《སྣར་》,pདེ།,,,,,
,,327,6,《པེ་》《སྣར་》,pམ།,,,,,
,,328,7,《པེ་》,pདེ།,《སྣར་》,,,,
,,329,8,《པེ་》《སྣར་》,རྣམ་པར།,,,,,
,,330,9,《པེ་》《སྣར་》,pཉིད་གཞན་དང་བྲལ་བ།,ད།,,,,
,,331,10,《པེ་》《སྣར་》,mམ།,,,,,
,,332,11,《པེ་》《སྣར་》,སྤོངས་པར།,,,,,
,,333,12,《པེ་》《སྣར་》,pམི།,,,,,
,,334,13,《པེ་》,pམཐོང་བ་ནི།,《སྣར་》,,,,
,,335,14,《པེ་》《སྣར་》,ཟ་བ།,,,,,
,,336,15,《པེ་》《སྣར་》,pཏེ།,pམཐོང་བ་ན།,,,,
,,337,16,《པེ་》《སྣར་》,mཡང་།,,,,,
,,338,17,《པེ་》《སྣར་》,པའི་མི།,,,,,
,862,339,1,《པེ་》《སྣར་》,མེ།,,,,,
,,340,2,《སྣར་》,pཁ།,,,,,
,,341,3,《པེ་》《སྣར་》,རྒལ།,,,,,
,,342,4,《པེ་》《སྣར་》,པ།,,,,,
,,343,5,《པེ་》《སྣར་》,pརོ།།,,,,,
,,344,6,《སྣར་》,mམ།,,,,,
,,345,7,《པེ་》《སྣར་》,རྟིང་།,,,,,
,,346,8,《པེ་》《སྣར་》,གྲུབ།,,,,,
,,347,9,《པེ་》《སྣར་》,གྱུར།,,,,,
,,348,10,《པེ་》《སྣར་》,གཅད།,,,,,
,,349,11,《པེ་》《སྣར་》,པར་ཐལ་བར།,,,,,
,,350,12,《པེ་》《སྣར་》,བཅད།,,,,,
,863,351,1,《པེ་》《སྣར་》,དག,,,,,
,,352,2,《པེ་》,རྒྱུད།,,,,,
,,353,3,《པེ་》《སྣར་》,ལ།,,,,,
,,354,4,《སྣར་》,པར།,,,,,
,,355,5,《པེ་》《སྣར་》,པ་ན།,,,,,
,,356,6,《པེ་》《སྣར་》,mའདི།,,,,,
,,357,7,《པེ་》《སྣར་》,mའགའ།,,,,,
,,358,8,《པེ་》《སྣར་》,ཡང་།,,,,,
,,359,9,《པེ་》《སྣར་》,mདག,,,,,
,,360,10,《པེ་》《སྣར་》,བཤད།,,,,,
,,361,11,《པེ་》《སྣར་》,དེ།,,,,,
,864,362,1,《སྣར་》,དེ་ཞིན།,,,,,
,,363,2,《སྣར་》,mལ།,,,,,
,,364,3,《པེ་》《སྣར་》,mནི།,,,,,
,,365,4,《པེ་》,ལོག,《ཅོ་》,,,,
,,366,5,《པེ་》《སྣར་》,ས།,,,,,
,,367,6,《པེ་》《སྣར་》,ན།,ལྡོགས།,,,,
,,368,7,《པེ་》《སྣར་》,བརྟན།,,,,,
,,369,8,《པེ་》《སྣར་》,སྤྱི།,,,,,
,865,370,1,《པེ་》《སྣར་》,mདཔེ་ཐུག་པ་མེད་པ་…...བྱེད་པ་ཡིན་པས།,,,,,
,,371,2,《པེ་》,པ།,,,,,
,,372,3,《པེ་》《སྣར་》,ཁྱབ།,,,,,
,,373,4,《པེ་》《སྣར་》,ཁྱབ།,,,,,
,,374,5,《པེ་》《སྣར་》,ཁྱབ།,,,,,
,,375,6,《པེ་》《སྣར་》,mདེ།,,,,,
,,376,7,《པེ་》《སྣར་》,mདག,,,,,
,,377,8,《པེ་》《སྣར་》,mགདགས་པ།,,,,,
,,378,9,《པེ་》《སྣར་》,pཁོ་ན།,,,,,
,,379,10,《སྣར་》,ཁྱད།,,,,,
,,380,11,《པེ་》《སྣར་》,pཔ།,,,,,
,,381,12,《པེ་》《སྣར་》,བོའི།,,,,,
,,382,13,《པེ་》《སྣར་》,པ་དེ།,,,,,
,,383,14,《པེ་》《སྣར་》,པ།,,,,,
,,384,15,《པེ་》《སྣར་》,pམི།,,,,,
,,385,16,《པེ་》《སྣར་》,བྱེད།,,,,,
,,386,17,《པེ་》《སྣར་》,འགའ།,,,,,
,866,387,1,《པེ་》,པས།,,,,,
,,388,2,《པེ་》《སྣར་》,mགཏན་ཚིགས་ཡོད་པ་ཡོན་ནོ།།,,,,,
,,389,3,《པེ་》《སྣར་》,པར།,,,,,
,,390,4,《པེ་》《སྣར་》,mལ།,,,,,
,,391,5,《པེ་》《སྣར་》,pནི།,,,,,
,,392,6,《པེ་》《སྣར་》,mཔར་བྱེད།,,,,,
,,393,7,《པེ་》《སྣར་》,ཉམས།,,,,,
,,394,8,《པེ་》《སྣར་》,དམ།,,,,,
,,395,9,《པེ་》《སྣར་》,པར།,,,,,
,,396,10,《པེ་》《སྣར་》,པ།,,,,,
,867,397,1,《པེ་》《སྣར་》,མེད་པ་མ།,,,,,
,,398,2,《པེ་》《སྣར་》,pབའམ།,,,,,
,,399,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
