མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,
,,39,2,《པེ་》《སྣར་》,pཔའི།,,,,,
,,40,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,41,4,《པེ་》《སྣར་》,གེ།,,,,,
,,42,5,《པེ་》《སྣར་》,mཔ་ཡིན།,,,,,
,,43,6,《པེ་》《སྣར་》,གི།,,,,,
,12,44,1,《པེ་》《སྣར་》,རིམ།,,,,,
,,45,2,《པེ་》《སྣར་》,གི།,,,,,
,,46,3,《སྣར་》,mརོ།,,,,,
,,47,4,《པེ་》《སྣར་》,རིག,,,,,
,,48,5,《པེ་》《སྣར་》,ཅིག,,,,,
,,49,6,《པེ་》《སྣར་》,དང་འབྱུང་བ་ལས།,,,,,
,,50,7,《པེ་》《སྣར་》,གང་།,,,,,
,,51,8,《པེ་》《སྣར་》,རིག,,,,,
,13,52,1,《པེ་》《སྣར་》,རྒྱུད།,,,,,
,,53,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,54,3,《པེ་》《སྣར་》,mདེས་ན།,,,,,
,,55,4,《པེ་》《སྣར་》,mསོ་སོ།,,,,,
,,56,5,《པེ་》《སྣར་》,pདེ།,,,,,
,,57,6,《པེ་》《སྣར་》,བལྟོས།,,,,,
,,58,7,《པེ་》《སྣར་》,pཡང་།,,,,,
,,59,8,《པེ་》《སྣར་》,mན།,,,,,
,,60,9,《པེ་》《སྣར་》,བསྡུད།,,,,,
,,61,10,《པེ་》《སྣར་》,mངོ་བོ་ཉིད།,,,,,
,,62,11,《པེ་》《སྣར་》,རིག,,,,,
,,63,12,《པེ་》《སྣར་》,གྱི།,,,,,
,,64,13,《པེ་》《སྣར་》,གི།,,,,,
,,65,14,《པེ་》《སྣར་》,ལྟར།,,,,,
,,66,15,《པེ་》《སྣར་》,རྣམས།,,,,,
,14,67,1,《སྣར་》,མིག,,,,,
,,68,2,《པེ་》《སྣར་》,རིམ་དུ།,,,,,
,,69,3,《པེ་》《སྣར་》,རིམ་དུ།,,,,,
,,70,4,《པེ་》《སྣར་》,རིམ་དུ།,,,,,
,,71,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,72,6,《པེ་》《སྣར་》,mམི།,,,,,
,,73,7,《པེ་》《སྣར་》,རིམ་དུ།,,,,,
,,74,8,《པེ་》,བཞག,,,,,
,,75,9,《སྣར་》,གིས།,,,,,
,,76,10,《པེ་》《སྣར་》,ལས།,,,,,
,,77,11,《པེ་》《སྣར་》,གི་གཅིག་བསྐྱེད།,,,,,
,,78,12,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,79,13,《པེ་》《སྣར་》,གི།,,,,,
,15,80,1,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,81,2,《པེ་》《སྣར་》,འདུལ།,,,,,
,,82,3,《སྣར་》,ཀྱིས།,,,,,
,,83,4,《པེ་》《སྣར་》,པའི།,,,,,
,,84,5,《པེ་》《སྣར་》,mསྒྲས།,,,,,
,,85,6,《པེ་》《སྣར་》,གི།,,,,,
,,86,7,《པེ་》《སྣར་》,ནི།,,,,,
,,87,8,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,88,9,《སྣར་》,ལེགས།,,,,,
,16,89,1,《པེ་》《སྣར་》,ཅིག,,,,,
,,90,2,《པེ་》《སྣར་》,ཏེ།,,,,,
,,91,3,《པེ་》《སྣར་》,བརྟགས།,,,,,
,,92,4,《པེ་》《སྣར་》,ཏེ།,,,,,
,17,93,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,94,2,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,95,3,《པེ་》《སྣར་》,གཱརྫུ།,,,,,
,,96,4,《ཅོ་》,ཕ།,,,,,
,,97,5,《པེ་》《སྣར་》,གི།,,,,,
,,98,6,《པེ་》《སྣར་》,བས།,,,,,
,18,99,1,《པེ་》《སྣར་》,mདེས།,,,,,
,,100,2,《པེ་》《སྣར་》,ལ།,,,,,
,,101,3,《པེ་》《སྣར་》,pབཞིན།,,,,,
,,102,4,《པེ་》《སྣར་》,pརོ།།,,,,,
,,103,5,《པེ་》《སྣར་》,pཔ།,,,,,
,19,104,1,《པེ་》《སྣར་》,པ།,,,,,
,,105,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,106,3,《པེ་》《སྣར་》,mདོ།,,,,,
,,107,4,《པེ་》《སྣར་》,དེ།,,,,,
,20,108,1,《པེ་》《སྣར་》,བལྟོས།,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,109,2,《པེ་》《སྣར་》,ཅིག,,,,,
,,110,3,《པེ་》《སྣར་》,སྐྱེད།,,,,,
,,111,4,《པེ་》《སྣར་》,གྱིས།,,,,,
,,112,5,《པེ་》《སྣར་》,བྱའོ།,,,,,
,21,113,1,《པེ་》《སྣར་》,ཟབ།,,,,,
,,114,2,《པེ་》《སྣར་》,མདལ།,,,,,
,,115,3,《པེ་》《སྣར་》,དེ།,,,,,
,22,116,1,《སྣར་》,སྐོར།,,,,,
,,117,2,《པེ་》《སྣར་》,སྐོར།,,,,,
,,118,3,《པེ་》《སྣར་》,པ།,,,,,
,,119,4,《པེ་》《སྣར་》,པས།,,,,,
,,120,5,《པེ་》《སྣར་》,གཙང་།,,,,,
,,121,6,《པེ་》《སྣར་》,གི།,,,,,
,,122,7,《པེ་》《སྣར་》,ཀྱི།,,,,,
,23,123,1,《པེ་》,mཔ།,,,,,
,,124,2,《པེ་》《སྣར་》,བ།,,,,,
,,125,3,《ཅོ་》,ལས།,,,,,
,,126,4,《སྣར་》,mདུ།,,,,,
,24,127,1,《པེ་》《སྣར་》,པའི།,,,,,
,,128,2,《པེ་》《སྣར་》,པ།,,,,,
,,129,3,《པེ་》《སྣར་》,གཙང་།,,,,,
,,130,4,《པེ་》《སྣར་》,པ།,,,,,
,25,131,1,《པེ་》《སྣར་》,དེ།,,,,,
,,132,2,《པེ་》《སྣར་》,pཔ།,,,,,
,,133,3,《པེ་》《སྣར་》,ཞེའོ།,,,,,
,,134,4,《པེ་》《སྣར་》,གིས།,,,,,
,,135,5,《པེ་》《སྣར་》,pགསུང་བར།,,,,,
,26,136,1,《པེ་》《སྣར་》,རྟོག,,,,,
,,137,2,《པེ་》《སྣར་》,mཔ།,,,,,
,,138,3,《པེ་》,གསུང་བའི།,,,,,
,,139,4,《པེ་》《སྣར་》,བཅུར།,,,,,
,27,140,1,《པེ་》《སྣར་》,ངོ་བོར།,,,,,
,,141,2,《པེ་》《སྣར་》,བསྟན།,,,,,
,,142,3,《པེ་》《སྣར་》,གྱི།,,,,,
,,143,4,《པེ་》《སྣར་》,mཡང་།,,,,,
,,144,5,《སྣར་》,གང་།,,,,,
,28,145,1,《པེ་》《སྣར་》,གི།,,,,,
,,146,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,147,3,《པེ་》《སྣར་》,mདུ།,,,,,
,29,148,1,《པེ་》,བཞག,,,,,
,,149,2,《པེ་》《སྣར་》,གིས།,,,,,
,,150,3,《པེ་》《སྣར་》,mཔ།,,,,,
,,151,4,《པེ་》《སྣར་》,mགསུངས་སོ་ཞེས།,,,,,
,,152,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,153,6,《པེ་》《སྣར་》,གི།,,,,,
,,154,7,《པེ་》《སྣར་》,གཉིས།,,,,,
,,155,8,《པེ་》《སྣར་》,གི།,,,,,
,30,156,1,《སྣར་》,དེའི།,,,,,
,,157,2,《པེ་》《སྣར་》,mསྟེ།,,,,,
,31,158,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,159,2,《པེ་》《སྣར་》,ལྟུང་།,,,,,
,,160,3,《པེ་》《སྣར་》,ལྟུང་།,,,,,
,,161,4,《པེ་》《སྣར་》,ལྟུང་།,,,,,
,,162,5,《པེ་》《སྣར་》,རྫུན།,,,,,
,,163,6,《པེ་》《སྣར་》,སྟེ།,,,,,
,32,164,1,《པེ་》《སྣར་》,སྟེ།,,,,,
,,165,2,《པེ་》《སྣར་》,mསྡེ།,,,,,
,,166,3,《པེ་》《སྣར་》,mདངོས་པོ་རྣམས་ཀྱང་མཆིས་པར་འགྱུར་ལ་དངོས་པོ་རྣམས་མ་མཆིས་ན་ནི།,,,,,
,,167,4,《པེ་》《སྣར་》,mརོ།,,,,,
,,168,5,《པེ་》《སྣར་》,mནི།,,,,,
,33,169,1,《པེ་》《སྣར་》,ལས།,,,,,
,,170,2,《པེ་》《སྣར་》,རྒད།,,,,,
,,171,3,《པེ་》《སྣར་》,mསྡེ།,,,,,
,,172,4,《པེ་》《སྣར་》,mན།,,,,,
,,173,5,《པེ་》《སྣར་》,འདུ།,,,,,
,,174,6,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,175,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,176,8,《པེ་》《སྣར་》,གི།,,,,,
,34,177,1,《སྣར་》,ངས།,,,,,
,,178,2,《པེ་》《སྣར་》,mལ།,,,,,
,,179,3,《པེ་》《སྣར་》,mརོ།,,,,,
,,180,4,《པེ་》《སྣར་》,བཏགས།,,,,,
,,181,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,182,6,《པེ་》《སྣར་》,ཤིང་།,,,,,
,35,183,1,《པེ་》《སྣར་》,pཡང་།,,,,,
,,184,2,《སྣར་》,གཅིག,,,,,
,,185,3,《པེ་》《སྣར་》,mཔ།,,,,,
,36,186,1,《པེ་》《སྣར་》,གྱུར།,,,,,
,,187,2,《སྣར་》,mཔར།,,,,,
,,188,3,《པེ་》《སྣར་》,ཡིད་ཀྱི།,,,,,
,,189,4,《པེ་》《སྣར་》,བ་པའི།,,,,,
,,190,5,《པེ་》,དོ།,,,,,
,37,191,1,《པེ་》,mཔ།,,,,,
,,192,2,《པེ་》《སྣར་》,གིས།,,,,,
,,193,3,《སྣར་》,མའམ།,,,,,
,,194,4,《པེ་》,mཞེས།,,,,,
,,195,5,《པེ་》《སྣར་》,གི།,,,,,
,,196,6,《པེ་》《སྣར་》,གི།,《པེ་》《སྣར་》,བྱའོ།,,,
,,197,7,《སྣར་》,འཇུག,,,,,
,,198,8,《སྣར་》,འབྱུང་།,,,,,
,,199,9,《ཅོ་》,པོའི།,,,,,
,,200,10,《པེ་》《སྣར་》,པ།,,,,,
,,201,11,《པེ་》《སྣར་》,གིས།,,,,,
,,202,12,《པེ་》《སྣར་》,སྐྱེ་བོ།,,,,,
,38,203,1,《པེ་》《སྣར་》,ལ།,,,,,
,,204,2,《པེ་》《སྣར་》,དེ།,,,,,
,,205,3,《པེ་》《སྣར་》,རྣམས་ཞེས།,,,,,
,,206,4,《པེ་》《སྣར་》,པའི།,,,,,
,,207,5,《པེ་》《སྣར་》,ཚོལ།,,,,,
,,208,6,《པེ་》《སྣར་》,pམིང་ལ།,,,,,
,39,209,1,《པེ་》《སྣར་》,ཏེ།,,,,,
,,210,2,《པེ་》《སྣར་》,ནི།,,,,,
,,211,3,《པེ་》《སྣར་》,དགུ།,,,,,
,,212,4,《པེ་》《སྣར་》,mཡི་གེ་བཞི་དང་།,,,,,
,40,213,1,《པེ་》《སྣར་》,pཔ།,,,,,
,,214,2,《སྣར་》,ལྟར།,,,,,
,,215,3,《ཅོ་》,པོའི།,,,,,
,,216,4,《པེ་》《སྣར་》,ལྟ།,,,,,
,41,217,1,《པེ་》《སྣར་》,mཕྱིར།,,,,,
,42,218,1,《པེ་》《སྣར་》,ལས།,,,,,
,,219,2,《པེ་》《སྣར་》,mཡང་།,,,,,
,,220,3,《པེ་》《སྣར་》,མན།,,,,,
,,221,4,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,222,5,《པེ་》《སྣར་》,ཆད།,,,,,
,,223,6,《པེ་》《སྣར་》,གི།,,,,,
,43,224,1,《པེ་》《སྣར་》,གྱི།,,,,,
,,225,2,《པེ་》《སྣར་》,ལོ།,,,,,
,,226,3,《པེ་》《སྣར་》,mསོ།,,,,,
,,227,4,《པེ་》《སྣར་》,གྱི།,,,,,
,,228,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,229,6,《པེ་》《སྣར་》,pཆེན་པོ།,,,,,
,44,230,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,231,2,《པེ་》《སྣར་》,གིས་ཚེ།,,,,,
,,232,3,《སྣར་》,pཅིག,,,,,
,,233,4,《པེ་》《སྣར་》,ཏེ།,,,,,
,,234,5,《པེ་》《སྣར་》,ཀྱང་།,,,,,
,,235,6,《པེ་》《སྣར་》,པ།,,,,,
,45,236,1,《པེ་》《སྣར་》,གི།,,,,,
,,237,2,《པེ་》《སྣར་》,མའི།,,,,,
,,238,3,《པེ་》《སྣར་》,གི།,,,,,
,,239,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,240,5,《པེ་》《སྣར་》,སྒྱུར་བའི་ཕྱིར།,《ཅོ་》,བསྒྱུར་བའི་ཕྱིར་རོ།,,,
,,241,6,《པེ་》《སྣར་》,པ།,,,,,
,,242,7,《པེ་》《སྣར་》,བར།,,,,,
,,243,8,《པེ་》《སྣར་》,འགལ།,,,,,
,46,244,1,《པེ་》《སྣར་》,mགཉིས།,,,,,
,,245,2,《པེ་》《སྣར་》,གིས།,,,,,
,,246,3,《པེ་》《སྣར་》,གདུལ།,,,,,
,,247,4,《པེ་》《སྣར་》,མ་གྱུར་ཏོ། །,,,,,
,,248,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,47,249,1,《པེ་》《སྣར་》,ཅིག,,,,,
,,250,2,《སྣར་》,དགས།,,,,,
,,251,3,《པེ་》《སྣར་》,གི།,,,,,
,,252,4,《པེ་》《སྣར་》,སྤྱོད།,,,,,
,,253,5,《པེ་》《སྣར་》,པ།,,,,,
,,254,6,《པེ་》《སྣར་》,སྟོན།,,,,,
,48,255,1,《སྣར་》,mདེ།,,,,,
,,256,2,《པེ་》《སྣར་》,mདེ།,,,,,
,,257,3,《པེ་》《སྣར་》,གྱི།,,,,,
,,258,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,259,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,260,6,《པེ་》《སྣར་》,པོའི།,,,,,
,,261,7,《པེ་》,ཐོབ།,,,,,
,,262,8,《པེ་》《སྣར་》,གིས།,,,,,
,,263,9,《པེ་》《སྣར་》,pདུ།,,,,,
,,264,10,《པེ་》《སྣར་》,ལས།,,,,,
,49,265,1,《པེ་》《སྣར་》,pགྱི།,,,,,
,,266,2,《པེ་》《སྣར་》,པུའི།,,,,,
,,267,3,《པེ་》《སྣར་》,པར།,,,,,
,,268,4,《པེ་》《སྣར་》,བ།,,,,,
,,269,5,《པེ་》《སྣར་》,གསུངས་པ།,,,,,
,,270,6,《པེ་》《སྣར་》,གི།,,,,,
,50,271,1,《པེ་》《སྣར་》,mདུ།,,,,,
,,272,2,《པེ་》,ཞེ་ན།,《སྣར་》,རམ་ཞེ་ན།,,,
,,273,3,《པེ་》《སྣར་》,པོ་གཞུང་གི།,,,,,
,,274,4,《སྣར་》,འགྱུར་བ།,,,,,
,,275,5,《པེ་》《སྣར་》,བྱེད།,,,,,
,51,276,1,《པེ་》,གིས།,,,,,
,,277,2,《པེ་》《སྣར་》,པར།,,,,,
,,278,3,《པེ་》《སྣར་》,mའདི།,,,,,
,,279,4,《ཅོ་》,pཔ།,,,,,
,52,280,1,《པེ་》《སྣར་》,གིས།,,,,,
,,281,2,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,282,3,《པེ་》,འཇིག,,,,,
,,283,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,284,5,《པེ་》《སྣར་》,བཞད།,,,,,
,,285,6,《པེ་》《སྣར་》,བས།,,,,,
,,286,7,《པེ་》《སྣར་》《ཅོ་》,གཞག,,,,,
,53,287,1,《པེ་》《སྣར་》,pཡི།།,,,,,
,,288,2,《པེ་》《སྣར་》,མིང་།,,,,,
,,289,3,《པེ་》《སྣར་》,བསྡུད།,,,,,
,,290,4,《པེ་》《སྣར་》,mདག་ནས།,,,,,
,,291,5,《པེ་》《སྣར་》,པོའོ།།,,,,,
,,292,6,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,293,7,《པེ་》《སྣར་》,ལ།,,,,,
,,294,8,《པེ་》《སྣར་》,གིས།,,,,,
,,295,9,《སྣར་》,mསོ།,,,,,
,54,296,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,297,2,《པེ་》《སྣར་》,འཇིག,,,,,
,,298,3,《པེ་》《སྣར་》,པ།,,,,,
,,299,4,《པེ་》,པར་གྲུབ།,《ཅོ་》,པ་འགྲུབ།,,,
,,300,5,《པེ་》《སྣར་》,པོ།,,,,,
,,301,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,302,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,303,8,《པེ་》《སྣར་》,pཔ།,,,,,
,55,304,1,《པེ་》《སྣར་》,པོ།,,,,,
,,305,2,《པེ་》,ཀྱི་གོ་རིམ།,《སྣར་》,གོ་རིམ།,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གོ་རིམས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་གོ་རིམ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,306,3,《པེ་》《སྣར་》,གིས།,,,,,
,,307,4,《པེ་》《སྣར་》,པ།,,,,,
,,308,5,《པེ་》《སྣར་》,གིས།,,,,,
,,309,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,310,7,《པེ་》《སྣར་》,mཞེས་བྱའོ།,,,,,
,,311,8,《པེ་》,བཞི།,,,,,
,,312,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,56,313,1,《པེ་》《སྣར་》,pནི།,,,,,
,,314,2,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,315,3,《པེ་》《སྣར་》,དེ།,,,,,
,,316,4,《པེ་》《སྣར་》,ཉི་ཁྲི།,,,,,
,,317,5,《པེ་》,གཉེན་པོ་དེ་གཉེན་པོ་དེ།,《སྣར་》,གཉེན་པོ་དེ་དག་གཉན་པོ།,,,
,,318,6,《ཅོ་》,mབཞི།,,,,,
,,319,7,《པེ་》《སྣར་》,pརབ་ཏུ།,,,,,
,,320,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,57,321,1,《སྣར་》,mདེ།,,,,,
,,322,2,《པེ་》《སྣར་》,རི།,,,,,
,,323,3,《སྣར་》,གྱིས།,,,,,
,,324,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,325,5,《པེ་》《སྣར་》,བརྗོད་ཀྱི།,,,,,
,58,326,1,《པེ་》《སྣར་》,དེ།,,,,,
,,327,2,《པེ་》《སྣར་》,བ་ར་ཎཱ་སི།,,,,,
,,328,3,《པེ་》《སྣར་》,གནས།,,,,,
,59,329,1,《སྣར་》,སྒོ་ཟོད།,,,,,
,,330,2,《པེ་》《སྣར་》,གྱི།,,,,,
,,331,3,《པེ་》《སྣར་》,mམ།,,,,,
,,332,4,《པེ་》《སྣར་》,གྱིས།,,,,,
,,333,5,《པེ་》,འདིའི།,,,,,
,,334,6,《པེ་》《སྣར་》,mདུ།,,,,,
,,335,7,《པེ་》《སྣར་》,mཏེ།,,,,,
,60,336,1,《པེ་》《སྣར་》,mནི།,,,,,
,,337,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,338,3,《པེ་》《སྣར་》,mདང་།,,,,,
,,339,4,《པེ་》《སྣར་》,དང་།,,,,,
,,340,5,《པེ་》《སྣར་》,mཡང་།,,,,,
,,341,6,《པེ་》《སྣར་》,mལ།,,,,,
,,342,7,《པེ་》《སྣར་》,གྱི།,,,,,
,,343,8,《པེ་》《སྣར་》,གཅིག,,,,,
,,344,9,《པེ་》《སྣར་》,གིས།,,,,,
,,345,10,《པེ་》《སྣར་》,གཞག,,,,,
,,346,11,《པེ་》《སྣར་》,བསྡོངས།,,,,,
,61,347,1,《པེ་》《སྣར་》,བཞི་བཤད་པས།,,,,,
,,348,2,《པེ་》《སྣར་》,པ།,,,,,
,,349,3,《ཅོ་》,བཞག,,,,,
,,350,4,《པེ་》《སྣར་》,mདེ།,,,,,
,,351,5,《པེ་》《སྣར་》,མ།,,,,,
,,352,6,《པེ་》《སྣར་》,གིས།,,,,,
,,353,7,《པེ་》《སྣར་》,གི།,,,,,
,62,354,1,《པེ་》,pམ།,,,,,
,,355,2,《པེ་》《སྣར་》,pཅི་དེ་དག་འབྲས་བུ་ཞིག་ཡོད་ཅེ་ན།,,,,,
,,356,3,《པེ་》《སྣར་》,ཀུན།,,,,,
,,357,4,《ཅོ་》,ནི།,,,,,
,,358,5,《པེ་》《སྣར་》,ཞེས།,,,,,
,,359,6,《ཅོ་》,ཕ།,,,,,
,,360,7,《པེ་》《སྣར་》,བལྟ།,,,,,
,,361,8,《པེ་》《སྣར་》,བསྟེན།,,,,,
,,362,9,《པེ་》《སྣར་》,ཀྱི།,,,,,
,63,363,1,《པེ་》《སྣར་》,mབརྒྱ་པ།,,,,,
,,364,2,《པེ་》《སྣར་》,རིགས།,,,,,
,,365,3,《པེ་》《སྣར་》,མ།,,,,,
,,366,4,《པེ་》《སྣར་》,དེ།,,,,,
,,367,5,《པེ་》《སྣར་》,བསལ།,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་བཙལ་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བསལ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,368,6,《པེ་》《སྣར་》,དེ།,,,,,
,64,369,1,《པེ་》《སྣར་》,mརྣམ་པ།,,,,,
,,370,2,《སྣར་》,mཉིད།,,,,,
,,371,3,《པེ་》《སྣར་》,pམི།,,,,,
,,372,4,《པེ་》《སྣར་》,བརྟག,,,,,
,65,373,1,《པེ་》《སྣར་》,pངེས་པ།,,,,,
,,374,2,《པེ་》《སྣར་》,རིག,,,,,
,66,375,1,《པེ་》,mཏེ།,,,,,
,,376,2,《པེ་》《སྣར་》,གི།,,,,,
,,377,3,《པེ་》《སྣར་》,ན།,,,,,
,,378,4,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,379,5,《པེ་》《སྣར་》,mམ།,,,,,
,,380,6,《པེ་》《སྣར་》,གི།,,,,,
,67,381,1,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,382,2,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,383,3,《པེ་》《སྣར་》,ལ།,,,,,
,,384,4,《པེ་》《སྣར་》,ཅིག,,,,,
,,385,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,386,6,《སྣར་》,pམ།,,,,,
,,387,7,《པེ་》《སྣར་》,གྱིས།,,,,,
,,388,8,《པེ་》《སྣར་》,པ།,,,,,
,68,389,1,《པེ་》,ཕྱིའི།,,,,,
,,390,2,《པེ་》《སྣར་》,གྱིས་དབང་གིས།,,,,,
,,391,3,《པེ་》《སྣར་》,གིས།,,,,,
,,392,4,《པེ་》《སྣར་》,mཡོད་པ།,,,,,
,,393,5,《པེ་》《སྣར་》,mསོ།,,,,,
,,394,6,《པེ་》《སྣར་》,གི།,,,,,
,,395,7,《པེ་》《སྣར་》,ཞེ།,,,,,
,,396,8,《སྣར་》,ཀྱི།,,,,,
,,397,9,《པེ་》《སྣར་》,བྱའོ།,,,,,
,,398,10,《ཅོ་》,བྱ་བ།,,,,,
,,399,11,《པེ་》《སྣར་》,གྱིས།,,,,,
,69,400,1,《ཅོ་》,pལྷ།,,,,,
,,401,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,402,3,《པེ་》,རང་བཞིན་གྱིས།,《སྣར་》,གཞན་གྱིས།,,,
,,403,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,404,5,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,405,6,《པེ་》《སྣར་》,བསྒྲུབ་སྟེ།,,,,,
,,406,7,《པེ་》《སྣར་》,རིག,,,,,
,,407,8,《པེ་》,འདས་ཀྱི།,《སྣར་》,ཉིད་ཀྱིས།,,,
,70,408,1,《པེ་》《སྣར་》,འདིའི་རིག,,,,,
,,409,2,《པེ་》《སྣར་》《ཅོ་》,གྱི།,,,,,
,,410,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,
