མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,125,2,《པེ་》《སྣར་》,རྒུལ།,,,,,
,,126,3,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,127,4,《པེ་》《སྣར་》,བསྟོན།,,,,,
,,128,5,《སྣར་》,ཀྱི།,,,,,
,,129,6,《པེ་》《སྣར་》,mབ།,,,,,
,,130,7,《སྣར་》,བཞིར།,,,,,
,,131,8,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,132,9,《པེ་》《སྣར་》,mཞེས།,,,,,
,,133,10,《སྣར་》,ཚངས་པ།,,,,,
,125,134,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,135,2,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,136,3,《པེ་》《སྣར་》,བཞག,,,,,
,,137,4,《པེ་》《སྣར་》,བཞག,,,,,
,,138,5,《པེ་》《སྣར་》,བཞག,,,,,
,126,139,1,《པེ་》《སྣར་》,པ།,,,,,
,,140,2,《པེ་》《སྣར་》,mལ།,,,,,
,,141,3,《པེ་》《སྣར་》,བཟུང་།,,,,,
,127,142,1,《པེ་》《སྣར་》,རྒྱུ་དང་།,,,,,
,,143,2,《ཅོ་》,ཀྱི།,,,,,
,,144,3,《པེ་》《སྣར་》,pདག,,,,,
,,145,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,146,5,《སྣར་》,pཔ།,,,,,
,,147,6,《པེ་》《སྣར་》,རྒྱུ།,,,,,
,,148,7,《པེ་》《སྣར་》,ཐབ།,,,,,
,,149,8,《སྣར་》,ཚང་།,《ཅོ་》,འཚང་།,,,
,128,150,1,《པེ་》《སྣར་》,mགང་ཟག་ལ་ཚོད་མ་འཛིན་ཅིག,,,,,
,,151,2,《པེ་》《སྣར་》,མི་འཛིན་ཅིང་།,,,,,
,,152,3,《ཅོ་》,ཚོད།,,,,,
,,153,4,《པེ་》《སྣར་》,གཞིའི།,,,,,
,,154,5,《པེ་》《སྣར་》,དཔའ།,,,,,
,,155,6,《པེ་》,རིགས།,《སྣར་》,དང་རིག,,,
,,156,7,《སྣར་》,ན།,,,,,
,,157,8,《སྣར་》,ལ།,,,,,
