སྣར་	ཅོ་	སྡེ་	པེ་
ལྟ ས་བདག་ཉིད་	ལྟར་བདག་གནོད་	ལྟར་བདག་གནོད་	ལྟ ས་བདག་ཉིད་	
པ	པ ར	པ ར	པ	
ཉིད་	གི་	གི་	ཉིད་	
འདི་	འདི འི་	འདི འི་	འདི་	
ཡིས་	ཡི་	ཡི་	ཡིས་	
གི་ལྷག་བྱ་	ཉིད་ལྷག་བྱ འི་	ཉིད་ལྷག་བྱ འི་	གི་ལྷག་བྱ་	
ནི་	གི་	གི་	ནི་	
བ ས་	ལས་	ལས་	བ ས་	
གིས་སྣོད་	གི་གནོད་	གི་གནོད་	གིས་སྣོད་	
འདའ་	འདས་	འདས་	འདའ་	
བུ ས།  །ཁྱོད་ཀྱི་	བུ ར། །ཁྱོད་ཀྱིས་	བུ ར། །ཁྱོད་ཀྱིས་	བུ ས།  །ཁྱོད་ཀྱི་	
ཚོགས་	སུམ་	སུམ་	ཚོགས་	
ནི	གི	གི	ནི	
པ ར་	པ་	པ་	པ ར་	
གིས་	གི་	གི་	གིས་	
གིས་	གི་	གི་	གིས་	
བཅས་	ཅན་	ཅན་	བཅས་	
གི་	ནི་	ནི་	གི་	
རྣམས་	དག་	དག་	རྣམས་	
ལ	ནི	ནི	ལ	
ཡིས་	ཡི་	ཡི་	ཡིས་	
ལ་	པ་	པ་	ལ་	
གིས་	གི་	གི་	གིས་	
ལ འང་	ལ་	ལ་	ལ འང་	
ཀྱིས་	ཀྱི་	ཀྱི་	ཀྱིས་	
ལྟ	ལྟར	ལྟར	ལྟ	
གི་	གིས་	གིས་	གི་	
ཡིས་	ཡི་	ཡི་	ཡིས་	
གྲིའི་	གྲི་	གྲི་	གྲིའི་	
གསལ་བ ར་	གསལ་བ་	གསལ་བ་	གསལ་བ ར་	
ཞེས་	ཞེ་	ཞེ་	ཞེས་	
ལྟ་	ལྟར་	ལྟར་	ལྟ་	
པ ར	པ	པ	པ ར	
པ ས	པ	པ	པ ས	
ཞིང་	ཉིད	ཉིད	ཞིང་	
བྱ འི་སྨོན་ལམ་གྱིས	བྱ་སྨོན་ལམ་གྱི	བྱ་སྨོན་ལམ་གྱི	བྱ འི་སྨོན་ལམ་གྱིས	
དང་	པ འི་	པ འི་	དང་	
བུ་	བུ ར་	བུ ར་	བུ་	
དེ་	དེ ར་	དེ ར་	དེ་	
བུ་	བུ ར་	བུ ར་	བུ་	
མཐོང་བ ར་	མཐོང་བ ས་	མཐོང་བ ས་	མཐོང་བ ར་	
པོ ར་	པོ་	པོ་	པོ ར་	
ཅན་	པ་	པ་	ཅན་	
གི་	གིས་	གིས་	གི་	
བར	བ	བ	བར	
ལས་	ལ་	ལ་	ལས་	
ཉིད་	ནི་	ནི་	ཉིད་	
ཅེས་	ཅེ་	ཅེ་	ཅེས་	
དེ ར་	དེ་	དེ་	དེ ར་	
དག	དང་	དག	དག	
པ་	པ འང་	པ འང་	པ་	
འདི་	ནི་	ནི་	འདི་	
ན འང་	ན་	ན་	ན འང་	
དེ ར་	དེ་	དེ་	དེ ར་	
གིས་	གི་	གི་	གིས་	
ན	ཏེ	ཏེ	ན	
པོ ར་	པོ་	པོ་	པོ ར་	
པ	པ ར	པ ར	པ	
བོ་	བ་	བ་	བོ་	
གལ་ལས་	གང་གིས་	གང་གིས་	གལ་ལས་	
ན	པ	པ	ན	
གྱིས་	གྱི་	གྱི་	གྱིས་	
དུ འང་	དུ་	དུ་	དུ འང་	
དེ	པ	པ	དེ	
ནི་	ཉིད་	ཉིད་	ནི་	
པ འི	པ	པ	པ འི	
ཡི་འབྲས་བུ་སྐྱེད	ཡིས་འབྲས་སྐྱེད་ནུས	ཡིས་འབྲས་སྐྱེད་ནུས	ཡི་འབྲས་བུ་སྐྱེད	
བོ་	བོ འང་	བོ འང་	བོ་	
ལ། འབྲས་བུ་	ན། །འབྲས་བུ འི་	ན། །འབྲས་བུ འི་	ལ། འབྲས་བུ་	
དེ་	དེ ས་	དེ ས་	དེ་	
ན་	ན འང་	ན འང་	ན་	
དང་	དག་	དག་	དང་	
བ་	བ འང་	བ འང་	བ་	
གསལ་བ ར་	གསལ་བ་	གསལ་བ་	གསལ་བ ར་	
པ ར་སྐྱེ་བ་	པ་སྐྱེ་བ ར་	པ་སྐྱེ་བ ར་	པ ར་སྐྱེ་བ་	
ཀྱི འང་གཞག་	ཀྱིས་བཞག་	ཀྱིས་བཞག་	ཀྱི འང་གཞག་	
འམ་	བ འམ་	བ འམ་	འམ་	
ལས་	ནས་	ནས་	ནས་	
ཅིག	ཅིང་	ཅིང་	ཅིག	
པ ས	པ	པ	པ ས	
ཡིན	ཡོད	ཡོད	ཡིན	
དང་	དེ་	དེ་	དང་	
ན འང་	ན	ན	ན འང་	
པ་ལ འང་	པ འང་	པ འང་	པ འང་	
གི་	གིས་	གིས་	གི་	
པ འི་	པོ འི་	པོ འི་	པ འི་	
འདི་ན་	འདི ར་ནི་	འདི ར་ནི་	འདི་ན་	
དེ ར་	དེ་	དེ་	དེ ར་	
པ འི་	ན འི་	ན འི་	པ འི་	
འདི་	ནི་	ནི་	འདི་	
ཞིང་	ཡི	ཡི	ཞིང་	
འདི	ནི	ནི	འདི	
པ་	པ ར་	པ ར་	པ་	
དག	དང་	དག	དག	
ཡང་	དག་	དག་	ཡང་	
པདྨོ་	པདྨ་	པདྨ་	པདྨོ་	
ཀྱི་	ཀྱིས་	ཀྱིས་	ཀྱི་	
པ་	ལྡན་	ལྡན་	པ་	
དགར་	དགའ་	དགའ་	དགར་	
གིས	གི	གི	གིས	
གྱི་	གྱིས་	གྱིས་	གྱི་	
པ་	པ ར་	པ ར་	པ་	
མི་	མ་	མ་	མི་	
ཀྱི་	ཀྱིས་	ཀྱིས་	ཀྱི་	
པ འང་	པ་	པ་	པ འང་	
བཅུ་	བཅུ འི་	བཅུ འི་	བཅུ་	
ཏེ	ནས	ནས	ནས	
ལ་གཏུགས་	ལས་ཞུས་	ལས་ཞུས་	ལ་གཏུགས་	
པ	པ འོ	པ འོ	པ	
