མོ་རྗེ་བོ་དབང་དུ་གྱུར་,པ,་དེ་ཉིད་གསལ་བར་
ཙམ་གྱི་མཇུག་ཐོགས་སུ་འཁྲུལ་,པ,་དང་བྲལ་བའི་ཡེ་
ཞེས་བྱ་བ་སྨོས་ཏེནང་སྟོང་,པ,་ཉིད་ལ་སོགས་
ཟག་ལ་སོགས་,པ,་དང་འབྲེལ་
འགལ་བའི་ཕྱིར་ཏེལྐོག་ཏུ་གྱུར་,པ,་ཉིད་ནི་རྟོགས་
འདི་དག་ནི་དྲོ་བར་གྱུར་,པ,་ལ་སོགས་
འདོད་ཅེས་བྱ་བ་ནི་ཐར་,པ,་འདོད་ཅེས་བྱ་བའི་
འབྱུང་བ་ཡིན་ཏེཡུན་རིང་འབྲེལ་,པ,་ཞེས་བྱ་བ་ནི་
འཛིན་,པ,་
ཡང་མ་ཡིན་ཏེདེ་ཡང་འཁྲུལ་,པ,་དང་བྲལ་བ་ཙམ་
ཡིན་ཏེདེ་དག་རྗེས་སུ་འབྲེལ་,པ,་རྟོགས་
རང་རྒྱལ་བའི་དྲོ་བར་གྱུར་,པ,་ལ་སོགས་
རབ་དང་རགས་,པ,་དག་འབྲེལ་
རིང་བའི་སྒོ་ནས་ནི་བསྐལ་,པ,་དུ་མར་ཡང་དག་
རིའི་བུ་གཟུགས་ནི་ནང་སྟོང་,པ,་ཉིད་ཀྱི་ཕྱིར་ཡོད་
རོལ་གྱི་དོན་ལྐོག་ཏུ་གྱུར་,པ,་ཡིན་ན་ཉམས་སུ་
རོལ་དེའི་བདག་ཉིད་དུ་གྱུར་,པ,་དེ་དག་ནི་ཤེས་
རྗེས་སུ་ཡི་རང་ན་ཐར་,པ,་འདོད་
རྣམ་,པ,ས་མེད་
རྣམས་ཞེས་བྱ་བ་ནི་སྟོང་,པ,་ཉིད་ལ་སོགས་
རྩ་གཉིས་ཏེ་ལྟ་བར་གྱུར་,པ,་དྲུག་ཅུ་རྩ་གཉིས་
ལ་མཚན་མར་བརྗོད་,པ,འི་འབྲེལ་
ལ་རྟགས་དང་རྟགས་ཅན་འབྲེལ་,པ,་རྟོགས་
ལ་སོགས་,པ,་ཉིད་ཀྱིས་སྟོང་
ལ་སོགས་,པ,་ནི་དེ་སྤྲུལ་
ལ་སོགས་,པ,་བཞིན་དུ་འབྲེལ་
ལ་སོགས་,པ,་ས་ལས་གྱུར་
ལ་སོགས་,པ,འི་དྲོ་བར་གྱུར་
ལྟ་བ་དང་ལྡན་,པ,འི་སྟོང་
ལྟ་བུ་ནི་རྩེ་མོར་གྱུར་,པ,་ཤེས་
ལྡན་འདས་ཀྱི་སློབ་མར་གྱུར་,པ,་རབ་འབྱོར་ལ་སོགས་
ཤིན་ཏུ་བྱ་དཀའ་བའི་སྟོང་,པ,་ཉིད་ལ་གནས་
ཤེས་,པ,་ཐམས་ཅད་ལ་འཁྲུལ་
སུ་ཟིན་ཀྱང་ཚུལ་ཁྲིམས་འཆལ་,པ,་ཉིད་མ་ཡིན་
སུ་འཛིན་,པ,འི་བྱེད་
སུ་སྨིན་,པ,ར་བྱེད་ཅེ་ནསྟོང་
སུམ་མ་ཡིན་,པ,་དང་འབྲེལ་
སེམས་ཅན་རྣམས་ལ་ཆོས་སྟོང་,པ,་ཉིད་རབ་ཏུ་སྟོན་
སེམས་མཁའ་འགྲོ་བྱ་ལྟར་གྱུར་,པ,་ཉིད་ནི་སྲིད་
སོགས་,པ,་གཞན་མཆོག་ཏུ་གྱུར་
སོགས་,པ,་གསུངས་
སོགས་,པ,་ཉེ་བའི་གཞིར་གྱུར་
སྐྲག་,པ,ར་བྱེད་
སྒོ་ཞེས་བྱ་བ་ནི་སྟོང་,པ,་དང་མཚན་མ་མེད་
སྟེ་གལ་ཏེ་འགྲོ་བ་འཁྲུལ་,པ,་ཙམ་ཡིན་ན་དེ་
སྟོན་,པ,ར་མཛད་དེཤེས་རབ་འཆལ་
སྣང་བ་ནི་ལྐོག་ཏུ་གྱུར་,པ,་ཡིན་
